0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,,
,,,,,,,LED,,,,EMPAQUE,,,
*BOMBILLOS E27,,,,,,,,,,,,,,
3CCT,,,,,,,,,,,,,,
,ALUMINIO+P,,AC100-240V 12W E27,,,,,,,,,,,
LBA12SEN,,DORADO,,960,250,3CCT PARED,30.000H,,FICHA TÉCNICA,Ø 28*82mm,100,2 AÑOS,$,5.200
,C,,IP20,,,,,,,,,,,
*BOMBILLOS,,,,,,,,,,,,,,
RECARGABLES,,,,,,,,,,,,,,
,,,AC100-240V 15W E27,,,,,,,,,,,
LBAEMG1-FA,PC,NEGRO,,1100,180,6500K,25.000H,,FICHA TÉCNICA,Ø 79*136mm,100,2 AÑOS,$,17.533
,,,IP20,,,,,,,,,,,
,,,AC100-240V 15W E27,,,,,,,,,,,
LBAEMG1-F,PC,NEGRO,,1100,180,6500K,25.000H,,FICHA TÉCNICA,Ø 79*136mm,100,2 AÑOS,$,17.533
,,,IP20,,,,,,,,,,,
*BOMBILLOS E27,,,,,,,,,,,,,,
,,,AC100-240V 30W E27,,,,,,,,,,,
LBAEMG2-F,PC,NEGRO,,2200,180,6500K,25.000H,,FICHA TÉCNICA,Ø 106*97mm,50,2 AÑOS,$,34.533
,,,IP20,,,,,,,,,,,
,,,AC100-240V 40W E27,,,,,,,,,,,
LBAEMG3-F,PC,BLANCO,,2900,180,6500K,25.000H,,FICHA TÉCNICA,Ø 114*103mm,50,2 AÑOS,$,39.987
,,,IP20,,,,,,,,,,,
,,,AC100-130V 5W E27,,,,,,,,,,,
LBA555W-C,PC,BLANCO,,450,180,3000K,25.000H,,FICHA TÉCNICA,Ø 45*73mm,100,2 AÑOS,$,2.400
,,,IP20,,,,,,,,,,,
,,,AC100-130V 5W E27,,,,,,,,,,,
LBA555W-F,PC,BLANCO,,450,180,6500K,25.000H,,FICHA TÉCNICA,Ø 45*73mm,100,2 AÑOS,$,2.400
,,,IP20,,,,,,,,,,,
,,,AC100-130V 7W E27,,,,,,,,,,,
LBA607W-F,PC,BLANCO,,630,180,6500K,25.000H,,FICHA TÉCNICA,Ø 60*104mm,100,2 AÑOS,$,2.120
,,,IP20,,,,,,,,,,,
,,,AC100-240V  9W E27,,,,,,,,,,,
LBA609W-C,PC,BLANCO,,810,180,3000K,25.000H,,FICHA TÉCNICA,Ø 60*110mm,100,2 AÑOS,$,2.600
,,,IP20,,,,,,,,,,,
,,,AC100-240V 9W E27,,,,,,,,,,,
LBA609W-F,PC,BLANCO,,810,180,6500K,25.000H,,FICHA TÉCNICA,Ø 60*110mm,100,2 AÑOS,$,2.600
,,,IP20,,,,,,,,,,,
,,,AC100-130V 12W E27,,,,,,,,,,,
LBA6012W-F,PC,BLANCO,,1080,180,6500K,25.000H,,FICHA TÉCNICA,Ø 60*120mm,100,2 AÑOS,$,3.187
,,,IP20,,,,,,,,,,,
,,,AC100-240V 15W E27,,,,,,,,,,,
LBA6015W-C,PC,BLANCO,,1350,180,3000K,25.000H,,FICHA TÉCNICA,Ø 60*135mm,100,2 AÑOS,$,3.987
,,,IP20,,,,,,,,,,,
,,,AC100-130V 15W E27,,,,,,,,,,,
LBA6015W-F,PC,BLANCO,,1350,180,6500K,25.000H,,FICHA TÉCNICA,Ø 60*135mm,100,2 AÑOS,$,3.987
,,,IP20,,,,,,,,,,,
*BOMBILLOS ALTA,,,,,,,,,,,,,,
POTENCIA,,,,,,,,,,,,,,
,,,AC100-240V 20W E27,,,,,,,,,,,
LBGFZ20W-C,PC,BLANCO,,1800,250,3000K,25.000H,,FICHA TÉCNICA,Ø 76*132mm,40,2 AÑOS,$,8.533
,,,IP20,,,,,,,,,,,
,,,AC100-240V 20W E27,,,,,,,,,,,
LBGFZ20W-F,PC,BLANCO,,1800,250,6500K,25.000H,,FICHA TÉCNICA,Ø 76*132mm,40,2 AÑOS,$,8.533
,,,IP20,,,,,,,,,,,
,,,AC100-240V 30W E27,,,,,,,,,,,
LBGFZ30W-C,PC,BLANCO,,2700,250,3000K,25.000H,,FICHA TÉCNICA,Ø 99*185mm,30,2 AÑOS,$,12.667
,,,IP20,,,,,,,,,,,
