0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,
,,,,,,,VIDA,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,"ÚTIL
IMAGEN",PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,PRODUCTO,,,,
,,,,,,,LED,,,EMPAQUE,,,
*COLGANTE/TECHO,,,,,,,,,,,,,
LED,,,,,,,,,,,,,
,,,,,,,,,996*213*15mm |,,,,
,,,,,,3CCT,,,,,,,
LEDLC1A,ALUMINIO,DORADO,AC100-240V 40W IP20,3200,Asimétrico,,25.000H,FICHA TÉCNICA,Base:,1,2 AÑOS,,$ 358.667
,,,,,,CONTROL,,,,,,,
,,,,,,,,,280*70*30mm,,,,
,,,,,,3CCT,,,Ø600 Ø400 base,,,,
LEDLC1B-1,ALUMINIO,DORADO,AC100-240V 75W IP20,6000,Asimétrico,,25.000H,FICHA TÉCNICA,,-,2 AÑOS,$,1.047.600
,,,,,,CONTROL,,,Ø150mm,,,,
,,,,,,,,,Ø602*50*12mm |,,,,
,,,,,,3CCT,,,Largo Guaya:,,,,
LEDLC1B-4,ALUMINIO,NEGRO,AC100-240V 75W IP20,6000,Asimétrico,,25.000H,FICHA TÉCNICA,,-,2 AÑOS,,$ 423.200
,,,,,,CONTROL,,,1522mm | Base:,,,,
,,,,,,,,,Ø222mm,,,,
,,,,,,,,,Ø602*50*12mm |,,,,
,,,,,,3CCT,,,Largo Guaya:,,,,
LEDLC1C,ALUMINIO,NEGRO,AC100-240V 75W IP20,6000,Asimétrico,,25.000H,FICHA TÉCNICA,,-,2 AÑOS,,$ 438.933
,,,,,,CONTROL,,,1522mm | Base:,,,,
,,,,,,,,,Ø542*77*36mm,,,,
,,,,,,,,,Ø600*95 | Largo,,,,
,,,,,,3CCT,,,,,,,
LEDLC1D-D,ALUMINIO,DORADO,AC100-240V 45W IP20,4000,Asimétrico,,25.000H,FICHA TÉCNICA,Guaya: 1110 |,1,2 AÑOS,,$ 433.333
,,,,,,CONTROL,,,,,,,
,,,,,,,,,Base: Ø180*35mm,,,,
,,,,,,,,,Ø600*95 | Largo,,,,
,,,,,,3CCT,,,,,,,
LEDLC1D-N,ALUMINIO,NEGRO,AC100-240V 45W IP20,4000,Asimétrico,,25.000H,FICHA TÉCNICA,Guaya: 1110 |,1,2 AÑOS,,$ 433.333
,,,,,,CONTROL,,,,,,,
,,,,,,,,,Base: Ø180*35mm,,,,
,,,,,,,,,1216*107*20 |,,,,
,,,,,,3CCT,,,Largo Guaya: 1800,,,,
LEDLC2A,ALUMINIO,BLANCO,AC100-240V 32W IP20,6000,Asimétrico,,25.000H,FICHA TÉCNICA,,1,2 AÑOS,,$ 385.333
,,,,,,CONTROL,,,| Dimensiones,,,,
,,,,,,,,,cilindros:,,,,
,,,,,,,,,1000*190*15 |,,,,
,,,,,,3CCT,,,Largo Guaya: 2180,,,,
LEDLC2B,ALUMINIO,BLANCO,AC100-240V 55W IP20,6000,Asimétrico,,25.000H,FICHA TÉCNICA,,1,2 AÑOS,,$ 385.333
,,,,,,CONTROL,,,| Dimensiones,,,,
,,,,,,,,,esferas: Ø160mm,,,,
,,,,,,,,,1050*85*12 | Largo,,,,
,,,,,,3CCT,,,Guaya: 1920 |,,,,
LEDLC2C,ALUMINIO,NEGRO,AC100-240V 20W IP20,1600,Asimétrico,,25.000H,FICHA TÉCNICA,,1,2 AÑOS,,$ 513.333
,,,,,,CONTROL,,,base:,,,,
,,,,,,,,,430*61*40mm,,,,
,,,,,,,,,982*304*76mm |,,,,
,,,,,,3CCT,,,,,,,
LEDLC40,ALUMINIO,DORADO,AC100-240V 40W IP20,3200,Asimétrico,,25.000H,FICHA TÉCNICA,Largo guaya:,1,2 AÑOS,,$ 798.667
,,,,,,CONTROL,,,,,,,
,,,,,,,,,1600mm,,,,
,,,,,,3CCT,,,,,,,
LEDLC48-D,ALUMINIO,DORADO,AC100-240V 48W IP20,3840,Asimétrico,,25.000H,FICHA TÉCNICA,1220*260*05mm,1,2 AÑOS,,$ 638.667
,,,,,,CONTROL,,,,,,,
,,,,,,,,,Ø600*40 | Largo,,,,
,,,,,,3CCT,,,,,,,
LEDLC1E-N,METAL,NEGRO,AC100-240V 45W IP20,5800,180,,25.000H,FICHA TÉCNICA,Guaya: 1060 |,1,2 AÑOS,,$ 286.667
,,,,,,CONTROL,,,,,,,
,,,,,,,,,Base: Ø155*30mm,,,,
,,,,,,,,,Ø800*60 | Largo,,,,
,,,,,,3CCT,,,,,,,
LEDLC1F-N,METAL,NEGRO,AC100-240V 60W IP20,7000,180,,25.000H,FICHA TÉCNICA,Guaya: 1060 |,1,2 AÑOS,,$ 398.667
,,,,,,CONTROL,,,,,,,
,,,,,,,,,Base: Ø155*30mm,,,,
,,,,,,,,,Ø665*70,,,,
,,,,,,3CCT,,,,,,,
LEDLC1H-N,METAL,NEGRO,AC100-240V 60W IP20,4800,180,,25.000H,FICHA TÉCNICA,Base:Ø120*20,1,2 AÑOS,,$ 398.667
,,,,,,CONTROL,,,,,,,
,,,,,,,,,Guaya:1080mm,,,,
LEDLC0O-N,ALUMINIO,NEGRO,AC100-240V 6W IP20,720,90,3000K,25.000H,FICHA TÉCNICA,Ø120*H290mm,20,2 AÑOS,,$ 172.000
LEDLC0O-B,ALUMINIO,BLANCO,AC100-240V 6W IP20,720,90,3000K,25.000H,FICHA TÉCNICA,Ø120*H290mm,20,2 AÑOS,,$ 172.000
LEDLC0L-N,ALUMINIO,NEGRO,AC100-240V 5W IP20,600,60,3000K,25.000H,FICHA TÉCNICA,Ø25*400mm,20,2 AÑOS,,$ 118.667
LEDLC0L-B,ALUMINIO,BLANCO,AC100-240V 5W IP20,600,60,3000K,25.000H,FICHA TÉCNICA,Ø25*400mm,20,2 AÑOS,,$ 118.667
LEDLC0L-ACC,ACRILICO,BLANCO,ACCESORIO ACRILICO,N/A,N/A,N/A,25.000H,FICHA TÉCNICA,Ø25mm,20,2 AÑOS,$,20.000
