0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,
,,,,,,,VIDA,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,"ÚTIL
IMAGEN",PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,PRODUCTO,,,,
,,,,,,,LED,,,EMPAQUE,,,
*EXTRACTORES,,,,,,,,,,,,,
N-EXRP4,PC,BLANCO,AC110V 13W,N/A,N/A,N/A,N/A,FICHA TÉCNICA,162*158mm,24,2 AÑOS,$,53.200
N-EXRP4-N,PC,NEGRO,AC110V 13W,N/A,N/A,N/A,N/A,FICHA TÉCNICA,162*158mm,24,2 AÑOS,$,57.200
N-EXRP6,PC,BLANCO,AC110V 18W,N/A,N/A,N/A,N/A,FICHA TÉCNICA,214*210mm,18,2 AÑOS,$,67.867
N-EXRP6-N,PC,NEGRO,AC110V 18W,N/A,N/A,N/A,N/A,FICHA TÉCNICA,214*210mm,18,2 AÑOS,$,74.533
*VENTILADORES,,,,,,,,,,,,,
,,,AC100-240V E27,,,3CCT,,,,,,,
LBVAR2-B,ALUMINIO,BLANCO,,2000,180,,25.000H,FICHA TÉCNICA,520*175mm,24,1 AÑO,$,56.000
,,,PL.20W PM.20W,,,CONTROL,,,,,,,
,,MADERA Y,AC100-240V PL.15W,,,3CCT,,,,,,,
ECO10120A-N,ALUMINIO/PC,,,1500,120,,25.000H,FICHA TÉCNICA,338*438*140mm,3,2 AÑOS,,$ 532.000
,,NEGRO,PM.35W,,,CONTROL,,,,,,,
,,,AC100-240V PL.15W,,,3CCT,,,,,,,
ECO10120B-B,ALUMINIO/PC,BLANCO,,1500,120,,25.000H,FICHA TÉCNICA,325*517*105mm,2,2 AÑOS,,$ 492.000
,,,PM.35W,,,CONTROL,,,,,,,
,,NEGRO/BLANC,AC100-240V PL.15W,,,3CCT,,,,,,,
ECO10120C-N,ALUMINIO/PC,,,1500,120,,25.000H,FICHA TÉCNICA,233*635*137mm,2,2 AÑOS,,$ 452.000
,,O,PM.35W,,,CONTROL,,,,,,,
,,,AC100-240V PL.15W,,,3CCT,,,,,,,
ECO10120C-B,ALUMINIO/PC,BLANCO,,1500,120,,25.000H,FICHA TÉCNICA,233*635*137mm,2,2 AÑOS,,$ 452.000
,,,PM.35W,,,CONTROL,,,,,,,
,,,AC100-240V PL.42W,,,3CCT,,,,,,,
ECO10120D-B,METAL + PC,BLANCO/GRIS,,4200,120,,25.000H,FICHA TÉCNICA,Ø487*320*73mm,1,2 AÑOS,,$ 332.000
,,,PM.30W,,,CONTROL,,,,,,,
*SOLAR,,,,,,,,,,,,,
HM-1500,PC,N/A,-,N/A,N/A,N/A,N/A,FICHA TÉCNICA,280*176*33mm,-,-,$,1.733.350
DTU-LITE-S,PC,N/A,-,N/A,N/A,N/A,N/A,FICHA TÉCNICA,143*33*12.5mm,-,-,,$ 866.650
,,,,,,,,,200*101*29 (sin,,,,
DTU-PRO,PC,N/A,-,N/A,N/A,N/A,N/A,FICHA TÉCNICA,,-,-,$,1.969.200
,,,,,,,,,antenas),,,,
DTU-W100,PC,N/A,-,N/A,N/A,N/A,N/A,FICHA TÉCNICA,143*33*12.5mm,-,-,,$ 733.350
AC-CONNECTOR,-,N/A,-,N/A,N/A,N/A,N/A,FICHA TÉCNICA,-,-,-,$,71.850
AC-END-CAP,-,N/A,-,N/A,N/A,N/A,N/A,FICHA TÉCNICA,-,-,-,$,25.200
AC-END-CAP-HMS,-,N/A,-,N/A,N/A,N/A,N/A,FICHA TÉCNICA,-,-,-,$,24.000
