0,1,2,3,4,5,6,7,8,9,10,11,12,13
ECO168SPSQ12V-F,PC,BLANCO,"AC100-240V 12W IP20
DOB BACK-LIGHT",1080,120,6500K,30.000H,,FICHA TÉCNICA,155*155*35mm,-,2 AÑOS,"$
17.600"
ECO225SPSQ18V-F,PC,BLANCO,"AC100-240V 18W IP20
DOB BACK-LIGHT",1620,120,6500K,30.000H,,FICHA TÉCNICA,225*225*35mm,-,2 AÑOS,"$
22.267"
ECO300SPSQ24V-F,PC,BLANCO,"AC100-240V 24W IP20
DOB BACK-LIGHT",2160,120,6500K,30.000H,,FICHA TÉCNICA,228*228*35mm,30,2 AÑOS,"$
25.333"
"*PANELES
BACKLIGHT 60x60",,,,,,,,,,,,,
ECO6060V48-F,IRON,BLANCO,AC100-240V 48W IP20,4800,120,6500K,40.000H,,FICHA TÉCNICA,600*600*32mm,6,2 AÑOS,"$
61.333"
ECO6060V48-N,IRON,BLANCO,AC100-240V 48W IP20,4800,120,4000K,40.000H,,FICHA TÉCNICA,600*600*32mm,6,2 AÑOS,"$
61.333"
"*ACCESORIOS
PANELES 60x60",,,,,,,,,,,,,
ECO6060/MARCO,ALUMINIO,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,600*600mm,8,2 AÑOS,"$
33.200"
ECO6060-KITGUAYA,METAL,N/A,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1200mm,"250
-
6",2 AÑOS,"$
10.000"
"*PANELES
BACKLIGHT 30x120",,,,,,,,,,,,,
ECO30120V48-F,IRON,BLANCO,AC100-240V 48W IP20,4800,120,6500K,40.000H,,FICHA TÉCNICA,1200*300*32mm,,2 AÑOS,$ 106.533
ECO30120V48-N,IRON,BLANCO,AC100-240V 48W IP20,4800,120,4000K,40.000H,,FICHA TÉCNICA,1200*300*32mm,6,2 AÑOS,$ 106.533
ECO30120/MARCO,ALUMINIO,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1200*300mm,6,2 AÑOS,"$
39.867"
ECO30120/KIT/GY,METAL,N/A,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1200mm,100,-,"$
10.000"
*HERMETICAS LED,,,,,,,,,,,,,
FIX36W120-F,PC,BLANCO,AC100-240V 36W IP65,3600,120,6500K,30.000H,,FICHA TÉCNICA,1118*53*34mm,20,2 AÑOS,"$
35.000"
FIX36W120-N,PC,BLANCO,AC100-240V 36W IP65,3600,120,4000K,30.000H,,FICHA TÉCNICA,1118*53*34mm,20,2 AÑOS,"$
35.000"
FIX40W120-F,PC,BLANCO,"AC100-240V 40W IP65
FP>0.9",4000,120,6500K,40.000H,,FICHA TÉCNICA,1165*80*51mm,8,2 AÑOS,"$
92.667"
FIX40W120-N,PC,BLANCO,"AC100-240V 40W IP65
FP>0.9",4000,120,4000K,40.000H,,FICHA TÉCNICA,1165*80*51mm,8,2 AÑOS,"$
92.667"
FIX60W120-F,PC,BLANCO,"AC100-240V 60W IP65
FP>0.9",6000,120,6500K,40.000H,,FICHA TÉCNICA,1165*80*51mm,8,2 AÑOS,"$
98.650"
