0,1,2,3,4,5,6,7,8,9,10,11,12,13
SE01,PC,BLANCO,AC110V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75mm,-,2 AÑOS,"$
27.333"
SE08,PC,BLANCO,AC110V E27 IP20,N/A,360,N/A,N/A,,FICHA TÉCNICA,Ø40mm,-,2 AÑOS,"$
17.333"
SE13,PC,BLANCO,AC110V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,150*75mm,-,2 AÑOS,"$
18.667"
*FUENTES,,,,,,,,,,,,,
DRSC1-12V,METAL,N/A,12V 2A 24W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,19.2*1.8*1.8mm,100,2 AÑOS,"$
11.867"
DRSC2-12V,METAL,N/A,12V 3A 36W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,28.2*1.8*1.8mm,20,2 AÑOS,"$
14.533"
DRSC3-12V,METAL,N/A,12V 4A 48W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,28.2*1.8*1.8mm,100,2 AÑOS,"$
18.000"
DRSC4-12V,METAL,N/A,12V 5A 60W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,31.1*1.8*1.8mm,100,2 AÑOS,"$
19.067"
DRSC5-12V,METAL,N/A,12V 10A 120W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,34.5*2.2*2.2mm,100,2 AÑOS,"$
30.133"
DRTC1-12V,METAL,N/A,12V 3.3A 40W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,8.5*3.2*5.8mm,100,2 AÑOS,"$
18.533"
DRTC3-12V,METAL,N/A,12V 5A 60W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,11*3.5*7.8mm,80,2 AÑOS,"$
26.533"
DRTC5-12V,METAL,N/A,12V 10A 120W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,16*4.2*9.8mm,30,2 AÑOS,"$
37.200"
DRTC7-12V,METAL,N/A,12V 16.5A 200W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,20*4.2*9.7mm,50,2 AÑOS,"$
47.867"
DRTC9-12V,METAL,N/A,12V 25A 300W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,19.8*5*11mm,6,2 AÑOS,"$
61.200"
DRTC11-12V,METAL,N/A,12V 33A 400W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,21.5*5*11.2mm,20,2 AÑOS,"$
79.867"
DRTC2-24V,METAL,N/A,24V 1.6A 40W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,8.5*3.3*5.9mm,100,2 AÑOS,"$
18.533"
DRTC4-24V,METAL,N/A,24V 2.5A 60W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1.1*3.5*7.8mm,80,2 AÑOS,"$
26.533"
DRTC6-24V,METAL,N/A,24V 5A 120W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,16*4.2mm,40,2 AÑOS,"$
37.200"
DRTC8-24V,METAL,N/A,24V 8.3A 200W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,20*4.3*2.2mm,50,2 AÑOS,"$
47.867"
DRTC10-24V,METAL,N/A,24V 12.5A 300W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,19.4*5*11mm,28,2 AÑOS,"$
61.200"
