0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,,
,,,,,,,LED,,,,EMPAQUE,,,
N-1TV,PC,BLANCO,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,-,2 AÑOS,$,5.610
N-1TV1LAN,PC,BLANCO,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,-,2 AÑOS,$,13.260
N-1TV1TEL,PC,BLANCO,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,-,2 AÑOS,$,6.188
N-TO1F,PC,BLANCO,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,120*75*5mm,-,2 AÑOS,$,2.890
X-1S,PC,BEIGE,AC127-250V   10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,300,2 AÑOS,$,66.533
X-2S,PC,BEIGE,AC127-250V   10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,200,2 AÑOS,$,79.867
T-1S-B,PC,BLANCO,AC127-250V   10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,75x117x35mm,50,2 AÑOS,$,66.533
T-1S-G,PC,GRIS,AC127-250V   10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,75x117x35mm,50,2 AÑOS,$,66.533
T-2S-B,PC,BLANCO,AC127-250V   10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,75x117x35mm,50,2 AÑOS,$,79.867
T-2S-G,PC,GRIS,AC127-250V   10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,75x117x35mm,50,2 AÑOS,$,79.867
T-3S-B,PC,BLANCO,AC127-250V   10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,75x117x35mm,50,2 AÑOS,$,87.867
T-3S-G,PC,GRIS,AC127-250V   10A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,75x117x35mm,50,2 AÑOS,$,87.867
*SENSORES,,,,,,,,,,,,,,
,,,AC 105- 305V,,,,,,,,,,,
SE15-A,PC,AZUL,1000W/1800VA 15A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø84*55mm,100,2 AÑOS,$,19.867
,,,IP66,,,,,,,,,,,
,,,AC 120- 277V,,,,,,,,,,,
SE17-A,PC,NEGRO,1000W/1800VA 15A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø66*84*35mm,100,2 AÑOS,$,9.200
,,,IP66,,,,,,,,,,,
,,,AC 120- 277V,,,,,,,,,,,
SE16-A,PC,NEGRO,,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø74*40mm,100,2 AÑOS,$,9.200
,,,1000W/1800VA,,,,,,,,,,,
SE03,PC,BLANCO,AC110-130V 0.5W IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,215*100mm,-,2 AÑOS,$,21.233
SE06,PC,BLANCO,AC110-130V 0.5W IP20,N/A,360,N/A,N/A,,FICHA TÉCNICA,60*74*75mm,50,2 AÑOS,$,22.533
SE11,PC,BLANCO+AZUL,AC110-240V  IP44,N/A,360,N/A,N/A,,FICHA TÉCNICA,32*42*44mm,100,2 AÑOS,$,10.200
SE14,PC,BLANCO,AC110V IP20,N/A,360,N/A,N/A,,FICHA TÉCNICA,Ø120mm,50,2 AÑOS,$,29.200
