0,1,2,3,4,5,6,7,8,9,10,11,12
*SUMERGIBLE,,,,,,,,,,,,
BALAS DE PISO,,,,,,,,,,,,
ECOPLAW-C,ACERO,PLATEADO,DC12V 0.3W IP68,30,60,3000K,25.000H,FICHA TÉCNICA,Ø20*35mm,100,2 AÑOS,"$
38.667"
ECOPL1W-C,ACERO,ALUMINIO,DC12V 1W IP68,100,60,3000K,50.000H,FICHA TÉCNICA,Ø52*45mm,40,2 AÑOS,"$
66.000"
ECOPL3W-C,ACERO,ALUMINIO,AC/DC12V 3W IP68,300,60,3000K,50.000H,FICHA TÉCNICA,Ø100*75mm,20,2 AÑOS,"$
81.200"
ECOPL3W-RGB,ACERO,ALUMINIO,AC/DC12V 3W IP68,300,60,RGB,50.000H,FICHA TÉCNICA,Ø100*75mm,20,2 AÑOS,$ 207.867
ECOPL6W-C,ACERO,ALUMINIO,AC/DC12V 6W IP68,540,60,3000K,25.000H,FICHA TÉCNICA,Ø120*92mm,20,2 AÑOS,$ 150.000
ECOPL6W-F,ACERO,ALUMINIO,AC/DC12V 6W IP68,540,60,6500K,25.000H,FICHA TÉCNICA,Ø120*92mm,20,2 AÑOS,$ 150.000
ECOPL6W-RGB,ACERO,ALUMINIO,AC/DC12V 6W IP68,540,60,RGB,25.000H,FICHA TÉCNICA,Ø120*92mm,20,2 AÑOS,$ 226.533
