0,1,2,3,4,5,6,7,8,9,10,11,12,13
STRU8MC,PC,TRASLUCIDO,"DC12V / DC24V /
AC120V",N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,3000,1 AÑO,"$
3.333"
STRU8ME,PC,TRASLUCIDO,"DC12V / DC24V /
AC120V",N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,1000,1 AÑO,"$
4.667"
STRU8ML,PC,TRASLUCIDO,"DC12V / DC24V /
AC120V",N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,1000,1 AÑO,"$
5.200"
STRU8MR,PC,TRASLUCIDO,"DC12V / DC24V /
AC120V",N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,2000,1 AÑO,"$
2.000"
*CABINET,,,,,,,,,,,,,
STR600-INC,"ALUMINIO+P
C",ALUMINIO,DC12V 6W/M IP20,540LM/W,120,3000K,N/A,,FICHA TÉCNICA,12.4*9.3*9.6mm,120,1 AÑO,"$
36.667"
STR600PLUG-INC,PC,BLANCO,DC12V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,20000mm,-,1 AÑO,"$
6.533"
STR600-VID,"ALUMINIO+P
C",ALUMINIO,DC12V 6W/M IP20,540LM/W,120,3000K,N/A,,FICHA TÉCNICA,7*15.3*10.3 mm,120,1 AÑO,"$
43.333"
STR600PLUG-VID,PC,BLANCO,DC12V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,20000mm,-,1 AÑO,"$
6.533"
STR600-ENT,"ALUMINIO+P
C",ALUMINIO,DC12V 6W/M IP20,480LM/W,120,3000K,N/A,,FICHA TÉCNICA,18.5*8*10.4 mm,120,1 AÑO,"$
42.000"
STR600PLUG-ENT,PC,BLANCO,DC12V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,20000mm,-,1 AÑO,"$
6.533"
STR600TA,PC,NEGRO,DC12V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1800mm,-,1 AÑO,"$
10.533"
STR600MO,PC,NEGRO,DC12V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1800mm,-,1 AÑO,"$
10.533"
STR600PU,PC,NEGRO,DC12V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1800mm,-,1 AÑO,"$
10.533"
STR600PR,PC,NEGRO,DC12V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1800mm,-,1 AÑO,"$
13.200"
STR36,PC,BLANCO,"AC100-240V DC12V
36W IP20",N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,50,1 AÑO,"$
41.067"
STR60,PC,BLANCO,"AC100-240V DC12V
60W IP20",N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,50,1 AÑO,"$
49.533"
*DOWN LIGHT,,,,,,,,,,,,,
BLINR2-C,ALUMINIO,"BLANCO/NEGR
O",AC100-240V 10W IP20,900,24,3000K,30.000H,,FICHA TÉCNICA,148*46*52mm,50,2 AÑOS,"$
71.867"
BLINR4-C,ALUMINIO,"BLANCO/NEGR
O",AC100-240V 20W IP20,1800,24,3000K,30.000H,,FICHA TÉCNICA,280*46*52mm,50,2 AÑOS,$ 109.333
