0,1,2,3,4,5,6,7,8,9,10,11,12,13
IP65,,,,,,,,,,,,,
*WALLWASHER,,,,,,,,,,,,,
"FLOWWB-C
ALUMINIO
GRIS
AC85-277V 24W IP65
2400
30
3000K
50.000H
FICHA TÉCNICA
615*77*65mm
10
2 AÑOS
$ 119.897",,,,,,,,,,,,,
"*REFLECTORES
SOLARES",,,,,,,,,,,,,
FLOSUN50-C,PC,NEGRO,3.2V 4.5AH 50W IP65,550,120,3000K,N/A,,FICHA TÉCNICA,205*170*44.5mm,10,2 AÑOS,$ 113.333
FLOSUN50-F,PC,NEGRO,3.2V 4.5AH 50W IP65,550,120,6500K,N/A,,FICHA TÉCNICA,205*170*44.5mm,10,2 AÑOS,$ 113.333
FLOSUN100-C,PC,NEGRO,3.2V 10AH 100W IP65,1400,120,3000K,N/A,,FICHA TÉCNICA,"255.6*210.6*44.5m
m",10,2 AÑOS,$ 145.333
FLOSUN100-F,PC,NEGRO,3.2V 10AH 100W IP65,1400,120,6500K,N/A,,FICHA TÉCNICA,"255.6*210.6*44.5m
m",10,2 AÑOS,$ 145.333
FLOSUN200-F,PC,NEGRO,3.2V 20AH 200W IP65,2700,120,6500K,N/A,,FICHA TÉCNICA,"360.5*300.5*46.5
mm",5,2 AÑOS,$ 238.667
FLOSUN300-C,PC,NEGRO,3.2V 30AH 300W IP65,4100,120,3000K,N/A,,FICHA TÉCNICA,"360.5*300.5*46.5
mm",5,2 AÑOS,$ 292.000
FLOSUN300-F,PC,NEGRO,3.2V 30AH 300W IP65,4100,120,6500K,N/A,,FICHA TÉCNICA,"360.5*300.5*46.5
mm",5,2 AÑOS,$ 292.000
"*OTROS
REFLECTORES
SOLARES",,,,,,,,,,,,,
FLOSUN100-RGB,PC,GRIS,3.2V 10AH 100W IP65,1400,120,RGB,N/A,,FICHA TÉCNICA,211*191*45 mm,10,2 AÑOS,$ 133.067
FLOSUN25-3CCT,ALUMINIO,NEGRO,3.7V 25W IP65,1000,120,3CCT SWITCH,N/A,,FICHA TÉCNICA,143*98*42mm,20,2 AÑOS,"$
79.333"
FLOSUN5-A,PC,AZUL,5V 5W IP65,2150,120,"3CCT+Azul+Roj
o",N/A,,FICHA TÉCNICA,175*155*62 mm,30,2 AÑOS,"$
86.533"
*BALAS DE PISO,,,,,,,,,,,,,
ECOBP1L-N,ALUMINIO,NEGRO,AC100-240V 3W IP65,270,60,3000K,25.000H,,FICHA TÉCNICA,Ø45*85mm,50,2 AÑOS,"$
52.667"
ECOBP4L-N,ALUMINIO,NEGRO,AC100-240V 3W IP65,270,60,3000K,25.000H,,FICHA TÉCNICA,Ø45*85mm,50,2 AÑOS,"$
52.667"
ECOBP1M-C,ALUMINIO,ALUMINIO,AC100-240V 1W IP65,90,45,3000K,25.000H,,FICHA TÉCNICA,Ø41*72mm,100,2 AÑOS,"$
38.667"
ECOBP1M-R,ALUMINIO,ALUMINIO,AC100-240V 1W IP65,90,45,ROJO,25.000H,,FICHA TÉCNICA,Ø41*72mm,100,2 AÑOS,"$
34.000"
