0,1,2,3,4,5,6,7,8,9,10,11,12,13
"DRTC12-24V
METAL
N/A
24V 16.6A 400W
N/A
N/A
N/A
N/A
FICHA TÉCNICA
21.4*5*11.2mm
25
2 AÑOS
$
79.867",,,,,,,,,,,,,
*PERFILES SILICONA,,,,,,,,,,,,,
ECO1010C,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,B10*H10,50,No tiene,"$
3.867"
ECO1510C,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,B15*H10,50,No tiene,"$
6.000"
ECO2010C,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,B20*H10,50,No tiene,"$
6.533"
ECO1616AW,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,B16*H16,50,No tiene,"$
11.333"
ECO2010A,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,B20*H10,50,No tiene,"$
13.200"
ECO2010AW,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,B20*H10,50,No tiene,"$
13.200"
ECO2014A,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,B20*H14,50,No tiene,"$
11.867"
ECO1010A,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,B10*H10,50,No tiene,"$
5.200"
ECO1212A,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,B12*H12,100,No tiene,"$
6.533"
ECO1616A,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,B16*H16,50,No tiene,"$
11.867"
ECOD22,SILICONA,BLANCO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø22mm,50,No tiene,"$
26.533"
*PERFILES ALUMINIO,,,,,,,,,,,,,
ECO89-716-3MTS,ALUMINIO,ALUMINIO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,"7,5*9mm",100,No tiene,"$
15.600"
ECO89-717-3MTS,ALUMINIO,ALUMINIO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,"8*8,05*13mm",100,No tiene,"$
15.800"
ECO89-717N-3MTS,ALUMINIO,NEGRO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,"8*8,05*13mm",100,No tiene,"$
17.000"
ECO1210X3MTS,ALUMINIO,ALUMINIO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,"12,2*9,9mm",100,No tiene,"$
18.533"
ECO1210AX3MTS,ALUMINIO,ALUMINIO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,"12,2*9,9mm",100,No tiene,"$
19.867"
ECO1210ANX3MTS,ALUMINIO,NEGRO,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,"12,2*9,9mm",100,No tiene,"$
21.200"
