0,1,2,3,4,5,6,7,8,9,10,11,12,13
ARQ40-N,"ALUMINIO+P
C",NEGRO,AC100-240V 40W IP20,3600,120,4000K,30.000H,,FICHA TÉCNICA,1190*70*55mm,25,2 AÑOS,$ 146.000
KAB3-RF,"ALUMINIO+P
C",NEGRO,AC100-240V 3W IP20,240,120,6500K,30.000H,,FICHA TÉCNICA,68L*55,10,2 AÑOS,"$
26.560"
KAB3-RN,"ALUMINIO+P
C",NEGRO,AC100-240V 3W IP20,240,120,4000K,30.000H,,FICHA TÉCNICA,68L*55,10,2 AÑOS,"$
26.560"
KAB3-TF,"ALUMINIO+P
C",NEGRO,AC100-240V 3W IP20,240,120,6500K,30.000H,,FICHA TÉCNICA,68L*55,10,2 AÑOS,"$
26.560"
KAB3-TN,"ALUMINIO+P
C",NEGRO,AC100-240V 3W IP20,240,120,4000K,30.000H,,FICHA TÉCNICA,68L*55,10,2 AÑOS,"$
26.560"
ARQ40B-BF,ALUMINIO,BLANCO,AC100-240V 40W IP20,3600,120,6500K,30.000H,,FICHA TÉCNICA,1183*70*60.5mm,10,2 AÑOS,$ 186.000
ARQ40B-BN,ALUMINIO,BLANCO,AC100-240V 40W IP20,3600,120,4000K,30.000H,,FICHA TÉCNICA,1183*70*60.5mm,10,2 AÑOS,$ 186.000
ARQ40B-BC,ALUMINIO,BLANCO,AC100-240V 40W IP20,3600,120,3000K,30.000H,,FICHA TÉCNICA,1183*70*60.5mm,10,2 AÑOS,"$
-"
ARQ40B-NF,ALUMINIO,NEGRO,AC100-240V 40W IP20,3600,120,6500K,30.000H,,FICHA TÉCNICA,1183*70*60.5mm,10,2 AÑOS,$ 186.000
ARQ40B-NN,ALUMINIO,NEGRO,AC100-240V 40W IP20,3600,120,4000K,30.000H,,FICHA TÉCNICA,1183*70*60.5mm,10,2 AÑOS,$ 186.000
ARQ40B-NC,ALUMINIO,NEGRO,AC100-240V 40W IP20,3600,120,3000K,30.000H,,FICHA TÉCNICA,1183*70*60.5mm,10,2 AÑOS,$ 186.000
ARQ40C-N,PC,NEGRO,AC100-240V 36W IP20,4320,24,3CCT SWITCH,30.000H,,FICHA TÉCNICA,1230*70*40mm,10,2 AÑOS,$ 186.000
*BALAS GU10 PC,,,,,,,,,,,,,
DLGU10A-B,PC,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø93*53mm,100,2 AÑOS,"$
13.200"
DLGU10A-N,PC,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø93*53mm,100,2 AÑOS,"$
13.200"
DLGU10B-B,PC,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø90*29mm,100,2 AÑOS,"$
11.867"
DLGU10B-N,PC,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø90*29mm,100,2 AÑOS,"$
11.867"
DLGU10AB-B,PC,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø92*40mm,100,2 AÑOS,"$
13.200"
DLGU10AB-N,PC,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø92*40mm,100,2 AÑOS,"$
13.200"
DLGU10ASQ-B,PC,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,93*93*53mm,100,2 AÑOS,"$
13.200"
