0,1,2,3,4,5,6,7,8,9,10,11,12,13
DLGUALCX1-B,METAL,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,100*100*38mm,100,2 AÑOS,"$
19.867"
DLGUALCX2-B,METAL,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,185*100*38mm,50,2 AÑOS,"$
26.533"
DLGUALCX3-B,METAL,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,270*100*38mm,50,2 AÑOS,"$
33.200"
"*BALAS GU10
ALUMINIO BAÑO",,,,,,,,,,,,,
DLGUALCC-B,"ALUMINIO+VI
DRIO",BLANCO,AC100-240V IP65 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø83*26mm,100,2 AÑOS,"$
19.867"
DLGUALCC-N,"ALUMINIO+VI
DRIO",NEGRO,AC100-240V IP65 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø83*26mm,100,2 AÑOS,"$
19.867"
*CILINDRO GU10 PC,,,,,,,,,,,,,
DLGU10C-B,PC,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø98*100mm,50,2 AÑOS,"$
26.533"
DLGU10C-N,PC,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø98*100mm,50,2 AÑOS,"$
26.533"
DLGU10CSQ-B,PC,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,100*93*93mm,50,2 AÑOS,"$
26.533"
DLGU10CSQ-N,PC,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,100*93*93mm,50,2 AÑOS,"$
26.533"
"*CILINDRO GU10
ALUMINIO",,,,,,,,,,,,,
DLGUALC-B,"ALUMINIO+P
C",BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø94*120mm,50,2 AÑOS,"$
33.200"
DLGUALC-N,"ALUMINIO+P
C",NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø94*120mm,50,2 AÑOS,"$
33.200"
DLGUALC1-B,"ALUMINIO+P
C",BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø55*90mm,100,2 AÑOS,"$
26.533"
DLGUALC1-N,"ALUMINIO+P
C",NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø55*90mm,100,2 AÑOS,"$
26.533"
DLGUALC1/AD,PC,DORADO,"ACCESORIO DORADO
PARA CILINDRO",N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø55mm,-,2 AÑOS,"$
2.000"
"*CILINDRO GU10
ALUMINIO DISEÑO",,,,,,,,,,,,,
DLGUALCTB-N,ALUMINIO,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø70*100mm,50,2 AÑOS,"$
52.000"
DLGUALCTB-G,ALUMINIO,GRIS,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø70*100mm,50,2 AÑOS,"$
65.333"
