0,1,2,3,4,5,6,7,8,9,10,11,12,13
*BOMBILLOS GU10,,,,,,,,,,,,,
LBGU105W -C,PC,BLANCO,AC100-130V 5W IP20,400,35,3000K,25.000H,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,3.267
LBGU105W -F,PC,BLANCO,AC100-130V 5W IP20,400,35,6500K,25.000H,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,3.267
LBGU107W -F,PC,BLANCO,AC100-240V 7W IP20,560,35,6500K,25.000H,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,4.600
LBGU107W-C,PC,BLANCO,AC100-240V 7W IP20,560,35,3000K,25.000H,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,4.600
LBGU107W-N,PC,BLANCO,AC100-240V 7W IP20,560,35,6500K,25.000H,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,4.600
