0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,,
,,,,,,,LED,,,,EMPAQUE,,,
GRD5-C,ALUMINIO,NEGRO,AC100-240V 5W IP65,450,45,3000K,25.000 H,,FICHA TÉCNICA,Ø43*230mm,50,2 AÑOS,$,42.000
GRD5-F,ALUMINIO,NEGRO,AC100-240V 5W IP65,450,45,6500K,25.000 H,,FICHA TÉCNICA,Ø43*230mm,50,2 AÑOS,$,42.000
GRD5-O,ALUMINIO,NEGRO,AC100-240V 5W IP65,450,45,2200K,25.000 H,,FICHA TÉCNICA,Ø43*230mm,50,2 AÑOS,$,42.000
GRD5-V,ALUMINIO,NEGRO,AC100-240V 5W IP65,450,45,VERDE,25.000 H,,FICHA TÉCNICA,Ø43*230mm,50,2 AÑOS,$,42.000
*ESTACAS PC,,,,,,,,,,,,,,
,POLIMERO+N,,,,,,,,,,,,,
GRDGU10A,,NEGRO,AC100-240V GU10 IP65,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø53*315mm,50,2 AÑOS,$,20.000
,YLON,,,,,,,,,,,,,
GRD5-PC1,PC,NEGRO,AC100-240V 5W IP65,450,60,3000K,25.000H,,FICHA TÉCNICA,Ø50*210*68 mm,50,2 AÑOS,$,26.533
GRD-PC2,PC,NEGRO,AC100-240V 7W IP65,700,38,3000K,25.000H,,FICHA TÉCNICA,Ø53x190x65mm,50,2 AÑOS,$,26.533
*ESTACAS SOLARES,,,,,,,,,,,,,,
PSTSUN5W-C,PC,NEGRO,3.7V 5W IP65,200,45,3000K,N/A,,FICHA TÉCNICA,Ø60*260mm,30,2 AÑOS,$,59.867
*APLIQUES SOLARES,,,,,,,,,,,,,,
,,,1.5V 600mAH NiMH,,,,,,,,,,,
APLSUN5-C,ALUMINIO,NEGRO,,20,180,3000K,N/A,,FICHA TÉCNICA,Ø125*25mm,20,2 AÑOS,$,32.667
,,,IP65 5W,,,,,,,,,,,
APSUN5-N,PC,NEGRO,3.7/1.2AH Litio 5W IP65,100,120,3000K,N/A,,FICHA TÉCNICA,126*96*50mm,100,2 AÑOS,$,22.667
,,,3.7V 1.2AH Litio 4W,,,,,,,,,,,
APSUN6,PC,NEGRO,,100,30,3000K,N/A,,FICHA TÉCNICA,165*85*57mm,50,2 AÑOS,$,46.667
,,,IP65,,,,,,,,,,,
APSUN7,PC,NEGRO,3.7V 2AH Litio 6W IP65,200,30,3000K,N/A,,FICHA TÉCNICA,214*84*57mm,30,2 AÑOS,$,52.000
*APLIQUES LED,,,,,,,,,,,,,,
EXTERIOR,,,,,,,,,,,,,,
AP12UFO-N,ALUMINIO,NEGRO,AC100-240V 12W IP65,840,180,3000K,25.000H,,FICHA TÉCNICA,Ø150*50mm,20,2 AÑOS,$,79.867
AP1-N,ALUMINIO,NEGRO,AC100-240V 12W IP65,840,120,3000K,25.000H,,FICHA TÉCNICA,160*75mm,20,2 AÑOS,$,65.333
AP2-N,ALUMINIO,NEGRO,AC100-240V 10W IP54,700,80,3000K,25.000H,,FICHA TÉCNICA,105(4)*177*180mm,8,2 AÑOS,$,86.533
AP2X2WB-N,ALUMINIO,NEGRO,AC100-240V 4W IP54,360,50,3000K,25.000H,,FICHA TÉCNICA,Ø65*65mm,20,2 AÑOS,$,37.333
