0,1,2,3,4,5,6,7,8,9,10,11,12,13
HM-1500,PC,N/A,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,280*176*33mm,-,-,"$
1.733.350"
DTU-LITE-S,PC,N/A,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,143*33*12.5mm,-,-,$ 866.650
DTU-PRO,PC,N/A,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,"200*101*29 (sin
antenas)",-,-,"$
1.969.200"
DTU-W100,PC,N/A,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,143*33*12.5mm,-,-,$ 733.350
AC-CONNECTOR,-,N/A,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,-,-,"$
71.850"
AC-END-CAP,-,N/A,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,-,-,"$
25.200"
AC-END-CAP-HMS,-,N/A,-,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,-,-,"$
24.000"
