0,1,2,3,4,5,6,7,8,9,10,11,12,13
CHL08-O,"ALUMINIO/VI
DRIO",ORO ROSA,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø9.8*28.5mm,1,2 AÑOS,$ 187.000
CHL16,ALUMINIO,DORADO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø150*190*1.5mm,1,2 AÑOS,$ 399.133
CHL18,ALUMINIO,DORADO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø67.8*95*11.8mm,1,2 AÑOS,$ 922.933
CHL19,ALUMINIO,NEGRO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø285mm,1,2 AÑOS,$ 358.667
CHL20-N,ALUMINIO,"NEGRO/DORA
DO",AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø360*280mm,20,2 AÑOS,"$
92.000"
CHL21-N,ALUMINIO,"NEGRO/DORA
DO",AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø250*330mm,20,2 AÑOS,"$
92.000"
CHL22-N,ALUMINIO,"NEGRO/DORA
DO",AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø190*460mm,10,2 AÑOS,"$
92.000"
CHL30-N,ALUMINIO,NEGRO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1200mm,100,2 AÑOS,"$
19.867"
CHL30-B,ALUMINIO,BRONCE,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1200mm,100,2 AÑOS,"$
19.867"
CHL30-C,ALUMINIO,COBRE,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1200mm,100,2 AÑOS,"$
19.867"
CHL31,"METAL+FIBR
A",CABUYA,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø20*920mm,50,2 AÑOS,"$
25.333"
CHL41,"METAL+FIBR
A",MADERA,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø360*285mm,6,2 AÑOS,$ 132.000
CHL42,"METAL+FIBR
A",MADERA,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø595*300mm,1,2 AÑOS,$ 438.667
*CAPERUZAS,,,,,,,,,,,,,
CP101,FIBRA,CAFÉ,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,124*146mm,50,6 MESES,"$
19.867"
CP102,FIBRA,CAFÉ,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,105*183*200mm,50,6 MESES,"$
33.200"
CP103,FIBRA,CAFÉ,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,2120*120mm,50,6 MESES,"$
33.200"
CP104,FIBRA,CAFÉ,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,3050*90mm,50,6 MESES,"$
43.867"
CP105,FIBRA,CAFÉ,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,310*1960mm,25,6 MESES,"$
53.200"
CP106,FIBRA,CAFÉ,N/A,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,400*3920*2060mm,10,6 MESES,"$
79.867"
