0,1,2,3,4,5,6,7,8,9,10,11,12,13
ECO-SL-04-F,ALUMINIO,GRIS,AC85-265V 90W IP65,12600,Asimétrico,3000K,50.000H,,FICHA TÉCNICA,495*215*80mm,5,2 AÑOS,$ 198.667
ECO-SL-04-N,ALUMINIO,GRIS,AC85-265V 90W IP65,12600,Asimétrico,6500K,50.000H,,FICHA TÉCNICA,495*215*80mm,5,2 AÑOS,$ 198.667
ECO-SL-05-F,ALUMINIO,GRIS,AC85-265V 120W IP65,16800,Asimétrico,3000K,50.000H,,FICHA TÉCNICA,540*215*80mm,5,2 AÑOS,$ 246.667
ECO-SL-05-N,ALUMINIO,GRIS,AC85-265V 120W IP65,16800,Asimétrico,6500K,50.000H,,FICHA TÉCNICA,540*215*80mm,5,2 AÑOS,"$
-"
ECO-SL-06-F,ALUMINIO,GRIS,AC85-265V 120W IP65,21000,Asimétrico,3000K,50.000H,,FICHA TÉCNICA,540*215*80mm,5,2 AÑOS,$ 278.667
ECO-SL-06-N,ALUMINIO,GRIS,AC85-265V 120W IP65,21000,Asimétrico,6500K,50.000H,,FICHA TÉCNICA,540*215*80mm,5,2 AÑOS,"$
-"
ECO-SL-12-F,ALUMINIO,GRIS,AC85-265V 200W IP65,28000,Asimétrico,3000K,50.000H,,FICHA TÉCNICA,600*235*80mm,5,2 AÑOS,$ 332.000
"*ALUMBRADO
PUBLICO PRO",,,,,,,,,,,,,
SL7G0-F,ALUMINIO,GRIS,"AC85-277V 40W IP66
10KV","5600
2M (Asimétrico
5000K",,,100.000H,,FICHA TÉCNICA,172*277 mm,1,5 AÑOS,$ 292.000
SL7G1-F,ALUMINIO,GRIS,"AC85-277V 60W IP66
10KV","8400
2M (Asimétrico
5000K",,,100.000H,,FICHA TÉCNICA,173*328 mm,1,5 AÑOS,$ 332.000
SL7G3-F,ALUMINIO,GRIS,"AC85-277V 120W IP66
10KV","16800
2M (Asimétrico
5000K",,,100.000H,,FICHA TÉCNICA,198*378 mm,1,5 AÑOS,$ 518.667
SL7G4-F,ALUMINIO,GRIS,"AC85-277V 200W IP66
10KV","28000
2M (Asimétrico
5000K",,,100.000H,,FICHA TÉCNICA,198*378 mm,1,5 AÑOS,$ 660.000
"*ALUMBRADO
PUBLICO SOLAR",,,,,,,,,,,,,
SLSUN60-F,ALUMINIO,GRIS,3.2V 37.5AH 60W IP65,5200,Asimétrico,6500K,25.000H,,FICHA TÉCNICA,215*79*533mm,1,2 AÑOS,$ 531.333
SLSUN80-F,ALUMINIO,GRIS,3.2V 45AH 80W IP65,6300,Asimétrico,6500K,25.000H,,FICHA TÉCNICA,533.5*215*79mm,1,2 AÑOS,$ 625.333
SLSUNRC,PC,BLANCO,0,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,N/A,-,0,"$
38.700"
"*ALUMBRADO
PUBLICO SOLAR
PROFESIONAL",,,,,,,,,,,,,
"DC12,8V 50AH 80W",,,,,,,,,,,,,
