0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,,
,,,,,,,LED,,,,EMPAQUE,,,
DLGU10ASQ-CH,PC,CHAMPAGNE,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,93*93*53mm,100,2 AÑOS,$,13.200
DLGU10ASQ-N,PC,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,93*93*53mm,100,2 AÑOS,$,13.200
DLGU10BX1-B,PC,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,90*90*25mm,100,2 AÑOS,$,13.200
DLGU10BX1-N,PC,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,90*90*25mm,100,2 AÑOS,$,13.200
DLGU10BX2-B,PC,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,175*90*25mm,50,2 AÑOS,$,19.867
DLGU10BX2-N,PC,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,175*90*25mm,50,2 AÑOS,$,19.867
DLGU10BX3-B,PC,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,253*90*25mm,50,2 AÑOS,$,26.533
DLGU10BX3-N,PC,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,253*90*25mm,50,2 AÑOS,$,26.533
DLGU10CC-B,PC,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø85*42mm,100,2 AÑOS,$,13.200
DLGU10CC-N,PC,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø85*42mm,100,2 AÑOS,$,13.200
*BALAS GU10,,,,,,,,,,,,,,
ALUMINIO,,,,,,,,,,,,,,
,,BLANCO/NEGR,,,,,,,,,,,,
DLGUALA,ALUMINIO,,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø88*41mm,100,2 AÑOS,$,20.667
,,O,,,,,,,,,,,,
DLGUALAB-B,ALUMINIO,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø92*41mm,100,2 AÑOS,$,20.667
DLGUALAB-N,ALUMINIO,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø92*41mm,100,2 AÑOS,$,20.667
DLGUALABSQ-B,ALUMINIO,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,90*90*42 mm,100,2 AÑOS,$,20.267
DLGUALABSQ-N,ALUMINIO,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,90*90*42 mm,100,2 AÑOS,$,20.267
DLGUALAX1-B,ALUMINIO,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,112*112*32mm,100,2 AÑOS,$,26.533
DLGUALAX1-N,ALUMINIO,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,112*112*32mm,100,2 AÑOS,$,26.533
DLGUALAX2-B,ALUMINIO,BLANCO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,210*112*32mm,50,2 AÑOS,$,39.867
DLGUALAX2-N,ALUMINIO,NEGRO,AC100-240V IP20 GU10,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,210*112*32mm,50,2 AÑOS,$,39.867
