0,1,2,3,4,5,6,7,8,9,10,11,12,13
SLSUN150-F,PC,NEGRO,3.2V 15AH 150W IP65,2500,120,6500K,N/A,,FICHA TÉCNICA,622*251*47mm,6,2 AÑOS,$ 202.667
SLSUN200-F,PC,NEGRO,3.2V 20AH 200W IP65,2700,120,6500K,N/A,,FICHA TÉCNICA,722*251*47mm,6,2 AÑOS,$ 240.200
"*LUMINARIA DE
PARQUE",,,,,,,,,,,,,
KNPA-F,ALUMINIO,GRIS,"AC85-277V 60W IP66
FP>0.9",8400,Asimétrico,5000K,100.000H,,FICHA TÉCNICA,Ø445*440mm,1,2 AÑOS,$ 612.000
KNP60W-N,ALUMINIO,GRIS,"AC85-277V 60W IP66
FP>0.9",8400,Asimétrico,4000K,100.000H,,FICHA TÉCNICA,Ø461*560mm,1,2 AÑOS,$ 732.000
KNP100W-N,ALUMINIO,GRIS,"AC85-265V 100W IP65
FP>0.9",12000,Asimétrico,4000K,50.000H,,FICHA TÉCNICA,Ø458*150mm,5,2 AÑOS,$ 373.333
"*LUMINARIA DE
PARQUE SOLAR",,,,,,,,,,,,,
"SLSUNFR3-N
ALUMINIO
GRIS
DC3.2V 25AH 60W IP65
2000
N/A
4000K
N/A
FICHA TÉCNICA
Ø610*180mm
1
2 AÑOS
$ 478.667",,,,,,,,,,,,,
"*SUMERGIBLE
BALAS DE PISO",,,,,,,,,,,,,
ECOPLAW-C,ACERO,PLATEADO,DC12V 0.3W IP68,30,60,3000K,25.000H,,FICHA TÉCNICA,Ø20*35mm,100,2 AÑOS,"$
38.667"
ECOPL1W-C,ACERO,ALUMINIO,DC12V 1W IP68,100,60,3000K,50.000H,,FICHA TÉCNICA,Ø52*45mm,40,2 AÑOS,"$
66.000"
ECOPL3W-C,ACERO,ALUMINIO,AC/DC12V 3W IP68,300,60,3000K,50.000H,,FICHA TÉCNICA,Ø100*75mm,20,2 AÑOS,"$
81.200"
ECOPL3W-RGB,ACERO,ALUMINIO,AC/DC12V 3W IP68,300,60,RGB,50.000H,,FICHA TÉCNICA,Ø100*75mm,20,2 AÑOS,$ 207.867
ECOPL6W-C,ACERO,ALUMINIO,AC/DC12V 6W IP68,540,60,3000K,25.000H,,FICHA TÉCNICA,Ø120*92mm,20,2 AÑOS,$ 150.000
ECOPL6W-F,ACERO,ALUMINIO,AC/DC12V 6W IP68,540,60,6500K,25.000H,,FICHA TÉCNICA,Ø120*92mm,20,2 AÑOS,$ 150.000
ECOPL6W-RGB,ACERO,ALUMINIO,AC/DC12V 6W IP68,540,60,RGB,25.000H,,FICHA TÉCNICA,Ø120*92mm,20,2 AÑOS,$ 226.533
"*SUMERGIBLE
REFLECTOR",,,,,,,,,,,,,
FLOPL3-C,ACERO,ALUMINIO,AC/DC12V 3W IP68,300,120,3000K,50.000 H,,FICHA TÉCNICA,Ø82*137mm,20,2 AÑOS,"$
55.907"
FLOPL3-RGB,ACERO,ALUMINIO,AC/DC12V 3W IP68,300,120,RGB,50.000 H,,FICHA TÉCNICA,Ø82*137mm,20,2 AÑOS,$ 101.733
FLOPL6-C,ACERO,ALUMINIO,AC/DC12V 6W IP68,600,120,3000K,50.000 H,,FICHA TÉCNICA,Ø120*140,20,2 AÑOS,"$
83.907"
