0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,,
,,,,,,,LED,,,,EMPAQUE,,,
,,,AC100-240V 30W E27,,,,,,,,,,,
LBGFZ30W-F,PC,BLANCO,,2700,250,6500K,25.000H,,FICHA TÉCNICA,Ø 99*185mm,30,2 AÑOS,$,12.667
,,,IP20,,,,,,,,,,,
,,,AC100-240V 40W E27,,,,,,,,,,,
LBGFZ40W-F,PC,BLANCO,,3600,250,6500K,25.000H,,FICHA TÉCNICA,Ø 120*210mm,20,2 AÑOS,$,18.533
,,,IP20,,,,,,,,,,,
,,,AC100-240V 50W E27,,,,,,,,,,,
LBGFZ50W-F,PC,BLANCO,,4500,250,6500K,25.000H,,FICHA TÉCNICA,Ø 128*225mm,20,2 AÑOS,$,25.200
,,,IP20,,,,,,,,,,,
*BOMBILLOS PARA,,,,,,,,,,,,,,
REEMPLAZO SODIO,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
,,,AC100-240V 45W E27,,,,,,,,,,,
LBHP1-N,ALUMINIO,GRIS,,6600,180,4000K,50.000H,,FICHA TÉCNICA,Ø 55*245mm,12,2 AÑOS,,$ 133.200
,,,IP20 FP>0.9,,,,,,,,,,,
*BOMBILLOS GU10,,,,,,,,,,,,,,
LBGU105W -C,PC,BLANCO,AC100-130V 5W IP20,400,35,3000K,25.000H,,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,3.267
LBGU105W -F,PC,BLANCO,AC100-130V 5W IP20,400,35,6500K,25.000H,,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,3.267
LBGU107W -F,PC,BLANCO,AC100-240V 7W IP20,560,35,6500K,25.000H,,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,4.600
LBGU107W-C,PC,BLANCO,AC100-240V 7W IP20,560,35,3000K,25.000H,,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,4.600
LBGU107W-N,PC,BLANCO,AC100-240V 7W IP20,560,35,6500K,25.000H,,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,4.600
*BOMBILLOS GU10,,,,,,,,,,,,,,
DIMERIZABLE,,,,,,,,,,,,,,
,,,AC110-130V 5W IP20,,,,,,,,,,,
LBGU105W-DIM-C,PC,BLANCO,,450,36,3000K,25.000H,,FICHA TÉCNICA,Ø 50*51mm,100,2 AÑOS,$,9.733
,,,DIMER,,,,,,,,,,,
,,,AC110-130V 7W IP20,,,,,,,,,,,
LBGU107W-DIM-C,PC,BLANCO,,560,36,3000K,25.000H,,FICHA TÉCNICA,Ø 50*66mm,100,2 AÑOS,$,13.200
,,,DIMER,,,,,,,,,,,
,,,AC110-130V 7W IP20,,,,,,,,,,,
LBGU107W-DIM-F,PC,BLANCO,,560,36,6500K,25.000H,,FICHA TÉCNICA,Ø 50*66mm,100,2 AÑOS,$,13.200
,,,DIMER,,,,,,,,,,,
,,,AC100-240V 10W E27,,,,,,,,,,,
LBPAR30A-N,PC,BLANCO,,1200,38,4000K,25.000H,,FICHA TÉCNICA,Ø 95*111mm,20,2 AÑOS,$,17.200
,,,IP20,,,,,,,,,,,
,,,AC100-240V 10W E27,,,,,,,,,,,
LBPAR30A-C,PC,BLANCO,,1200,38,3000K,25.000H,,FICHA TÉCNICA,Ø 95*111mm,20,2 AÑOS,$,17.200
,,,IP20,,,,,,,,,,,
*TUBOS LED,,,,,,,,,,,,,,
,,,AC100-240V 18W T8,,,,,,,,,,,
LTT812018W-F,PC,BLANCO,,1800,270,6500K,25.000H,,FICHA TÉCNICA,Ø 28*1200mm,30,2 AÑOS,$,11.867
,,,IP20,,,,,,,,,,,
*BOMBILLOS,,,,,,,,,,,,,,
VINTAGE PEQUEÑOS,,,,,,,,,,,,,,
