0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,,
,,,,,,,LED,,,,EMPAQUE,,,
,,,,,,,,,,Ø90*105mm,,,,
TLTPC-B,PC,BLANCO,AC100-240V 6W IP20,600,38,3CCT SWITCH,25.000H,,FICHA TÉCNICA,Base:58xØ65,40,2 AÑOS,$,39.867
,,,,,,,,,,Corte: Ø65,,,,
*CILINDRO TRACK,,,,,,,,,,,,,,
LIGHT GU10,,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
DLGUALBX1-B,,BLANCO,AC100-240V GU10 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø75*121mm,50,2 AÑOS,$,39.333
,C,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
DLGUALBX1-N,,NEGRO,AC100-240V GU10 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø75*121mm,50,2 AÑOS,$,39.333
,C,,,,,,,,,,,,,
*CILINDRO TRACK,,,,,,,,,,,,,,
LIGHT LED,,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
TL20SP-B,,BLANCO,AC100-240 20W IP20,1600,24,3000K,30.000H,,FICHA TÉCNICA,Ø 90*115mm,50,2 AÑOS,$,56.667
,C,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
TL20SP-N,,NEGRO,AC100-240 20W IP20,1600,24,3000K,30.000H,,FICHA TÉCNICA,Ø 90*115mm,50,2 AÑOS,$,56.667
,C,,,,,,,,,,,,,
*PANELES,,,,,,,,,,,,,,
BACKLIGHT,,,,,,,,,,,,,,
REDONDO INC,,,,,,,,,,,,,,
,,,AC100-240V 3W IP20,,,,,,,,,,,
ECO86SLIMV3-C,PC,BLANCO,,270,120,3000K,30.000H,,FICHA TÉCNICA,Ø 86*27mm,90,2 AÑOS,$,5.200
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 3W IP20,,,,,,,,,,,
ECO86SLIMV3-F,PC,BLANCO,,270,120,6500K,30.000H,,FICHA TÉCNICA,Ø 86 *27mm,90,2 AÑOS,$,5.200
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 6W IP20,,,,,,,,,,,
ECO120SLIMV6-C,PC,BLANCO,,540,120,3000K,30.000H,,FICHA TÉCNICA,Ø 120*27mm,90,2 AÑOS,$,6.533
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 6W IP20,,,,,,,,,,,
ECO120SLIMV6-F,PC,BLANCO,,540,120,6500K,30.000H,,FICHA TÉCNICA,Ø 120*27mm,90,2 AÑOS,$,6.533
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 6W IP20,,,,,,,,,,,
ECO120SLIMV6-N,PC,BLANCO,,540,120,4000K,30.000H,,FICHA TÉCNICA,Ø 120*27mm,90,2 AÑOS,$,6.533
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 12W IP20,,,,,,,,,,,
ECO168SLIMV12-C,PC,BLANCO,,1080,120,3000K,30.000H,,FICHA TÉCNICA,Ø 174*27mm,30,2 AÑOS,$,10.533
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 12W IP20,,,,,,,,,,,
ECO168SLIMV12-F,PC,BLANCO,,1080,120,6500K,30.000H,,FICHA TÉCNICA,Ø 174*27mm,30,2 AÑOS,$,10.533
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 12W IP20,,,,,,,,,,,
ECO168SLIMV12-N,PC,BLANCO,,1080,120,4000K,30.000H,,FICHA TÉCNICA,Ø 174*27mm,30,2 AÑOS,$,10.533
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 18W IP20,,,,,,,,,,,
ECO225SLIMV18-C,PC,BLANCO,,1620,120,3000K,30.000H,,FICHA TÉCNICA,Ø 225*27mm,30,2 AÑOS,$,12.667
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 18W IP20,,,,,,,,,,,
ECO225SLIMV18-F,PC,BLANCO,,1620,120,6500K,30.000H,,FICHA TÉCNICA,Ø 225*27mm,30,2 AÑOS,$,12.667
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 18W IP20,,,,,,,,,,,
ECO225SLIMV18-N,PC,BLANCO,,1620,120,4000K,30.000H,,FICHA TÉCNICA,Ø 225*27mm,30,2 AÑOS,$,12.667
,,,DOB BACK-LIGHT,,,,,,,,,,,
,,,AC100-240V 24W IP20,,,,,,,,,,,
ECO300SLIMV24-F,PC,BLANCO,,2160,120,6500K,30.000H,,FICHA TÉCNICA,Ø 295*27mm,20,2 AÑOS,$,25.333
,,,DOB BACK-LIGHT,,,,,,,,,,,
