0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,
,,,,,,,LED,,,,EMPAQUE,,
,ALUMINIO/VI,,,,,,,,,,,,
CHL08-O,,ORO ROSA,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø9.8*28.5mm,1,2 AÑOS,$ 187.000
,DRIO,,,,,,,,,,,,
CHL16,ALUMINIO,DORADO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø150*190*1.5mm,1,2 AÑOS,$ 399.133
CHL18,ALUMINIO,DORADO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø67.8*95*11.8mm,1,2 AÑOS,$ 922.933
CHL19,ALUMINIO,NEGRO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø285mm,1,2 AÑOS,$ 358.667
,,NEGRO/DORA,,,,,,,,,,,
CHL20-N,ALUMINIO,,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø360*280mm,20,2 AÑOS,"$
92.000"
,,DO,,,,,,,,,,,
,,NEGRO/DORA,,,,,,,,,,,
CHL21-N,ALUMINIO,,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø250*330mm,20,2 AÑOS,"$
92.000"
,,DO,,,,,,,,,,,
,,NEGRO/DORA,,,,,,,,,,,
CHL22-N,ALUMINIO,,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø190*460mm,10,2 AÑOS,"$
92.000"
,,DO,,,,,,,,,,,
CHL30-N,ALUMINIO,NEGRO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1200mm,100,2 AÑOS,"$
19.867"
CHL30-B,ALUMINIO,BRONCE,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1200mm,100,2 AÑOS,"$
19.867"
CHL30-C,ALUMINIO,COBRE,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,1200mm,100,2 AÑOS,"$
19.867"
,METAL+FIBR,,,,,,,,,,,,
CHL31,,CABUYA,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø20*920mm,50,2 AÑOS,"$
25.333"
,A,,,,,,,,,,,,
,METAL+FIBR,,,,,,,,,,,,
CHL41,,MADERA,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø360*285mm,6,2 AÑOS,$ 132.000
,A,,,,,,,,,,,,
,METAL+FIBR,,,,,,,,,,,,
CHL42,,MADERA,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø595*300mm,1,2 AÑOS,$ 438.667
,A,,,,,,,,,,,,
