0,1,2,3,4,5,6,7,8,9,10,11,12,13
TL30W-B,"ALUMINIO+P
C",BLANCO,AC100-240V 30W IP20,2400,35,3000K,30.000H,,FICHA TÉCNICA,Ø 75*178mm,50,2 AÑOS,"$
45.333"
TL30W-BN,"ALUMINIO+P
C",BLANCO,AC100-240V 30W IP20,2400,35,4000K,30.000H,,FICHA TÉCNICA,Ø 75*178mm,50,2 AÑOS,"$
45.333"
TL30W-N,"ALUMINIO+P
C",NEGRO,AC100-240V 30W IP20,2400,35,3000K,30.000H,,FICHA TÉCNICA,Ø 75*178mm,50,2 AÑOS,"$
45.333"
TL30W-NN,"ALUMINIO+P
C",NEGRO,AC100-240V 30W IP20,2400,35,4000K,30.000H,,FICHA TÉCNICA,Ø 75*178mm,50,2 AÑOS,"$
-"
"*TRACK LIGHT
RIELES 2 VÍAS",,,,,,,,,,,,,
TS1M-B,"ALUMINIO+P
C",BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,100*35mm,40,2 AÑOS,"$
10.667"
TS1M-N,"ALUMINIO+P
C",NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,100*35mm,40,2 AÑOS,"$
10.667"
TS2M-B,"ALUMINIO+P
C",BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,200*35mm,40,2 AÑOS,"$
20.667"
TS2M-N,"ALUMINIO+P
C",NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,200*35mm,40,2 AÑOS,"$
20.667"
"*TRACK LIGHT
ACCESORIOS 2 VÍAS",,,,,,,,,,,,,
TLCL-B,PC,BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,"$
9.333"
TLCL-N,PC,NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,"$
9.333"
TLCR-B,PC,BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,"$
9.333"
TLCR-N,PC,NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,"$
9.333"
TLCT-B,PC,BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,"$
9.333"
TLCT-N,PC,NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,"$
9.333"
TLCX-B,PC,BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,50,2 AÑOS,"$
9.333"
TLCX-N,PC,NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,50,2 AÑOS,"$
9.333"
*TRACK LIGHT 3 VÍAS,,,,,,,,,,,,,
"ALUMINIO+P
AC100-240V 35W IP20
TLWD-B
BLANCO
2800
24
3000K
50.000H
FICHA TÉCNICA
Ø 75*178mm
30
3 AÑOS
$
78.667
C
FP>0.9",,,,,,,,,,,,,
