0,1,2,3,4,5,6,7,8,9,10,11,12,13
AP2X3WA-LD,ALUMINIO,DORADO,AC100-240V 6W IP54,420,50,3000K,25.000H,,FICHA TÉCNICA,300*65*60mm,8,2 AÑOS,"$
99.867"
AP2X3WA-LN,ALUMINIO,NEGRO,AC100-240V 6W IP54,420,50,3000K,25.000H,,FICHA TÉCNICA,300*65*60mm,8,2 AÑOS,"$
99.867"
AP3-N,ALUMINIO,NEGRO,AC100-240V 12W IP65,840,180,3000K,25.000H,,FICHA TÉCNICA,175*101*28mm,8,2 AÑOS,"$
59.333"
APLH1-N,ALUMINIO,NEGRO,AC100-240V 20W IP65,1500,25,3000K,25.000H,,FICHA TÉCNICA,600*80*25mm,20,2 AÑOS,$ 172.000
CORBATIN-N,ALUMINIO,NEGRO,AC100-240V 6W IP65,540,60,3000K,25.000H,,FICHA TÉCNICA,90*65*160mm,8,2 AÑOS,"$
36.000"
CORBATINX1-N,ALUMINIO,NEGRO,AC100-240V 3W IP65,270,60,3000K,50.000H,,FICHA TÉCNICA,80*60*70mm,8,2 AÑOS,"$
26.000"
ECOBALL-N,ALUMINIO,NEGRO,AC100-240V 3W IP65,360,50,3000K,25.000H,,FICHA TÉCNICA,Ø65*65mm,8,2 AÑOS,"$
37.333"
ECOBALLX1-N,ALUMINIO,NEGRO,AC100-240V 1W IP65,70,50,3000K,25.000H,,FICHA TÉCNICA,Ø65*65mm,100,2 AÑOS,"$
32.000"
ECOBOX-B,ALUMINIO,BLANCO,AC100-240V 6W IP65,540,Ajustable,3000K,50.000H,,FICHA TÉCNICA,100*100*100mm,8,2 AÑOS,"$
47.867"
ECOBOX-N,ALUMINIO,NEGRO,AC100-240V 6W IP65,540,Ajustable,3000K,50.000H,,FICHA TÉCNICA,100*100*100mm,8,2 AÑOS,"$
47.867"
ECOBOX-O,ALUMINIO,OXIDO,AC100-240V 6W IP65,540,GRADUABLE,3000K,50.000H,,FICHA TÉCNICA,100*100*100mm,8,2 AÑOS,"$
47.867"
ECOCUBE9-N,ALUMINIO,NEGRO,AC100-240V 9W IP65,810,120,3000K,25.000H,,FICHA TÉCNICA,175*30*65mm,20,2 AÑOS,"$
73.200"
OLYMPIC-N,ALUMINIO,NEGRO,AC100-240V 6W IP65,540,100,3000K,25.000H,,FICHA TÉCNICA,80*60mm,60,2 AÑOS,"$
66.000"
PEEKYD6-N,ALUMINIO,NEGRO,AC100-240V 6W IP65,540,60,3000K,25.000H,,FICHA TÉCNICA,Ø123*50mm,20,2 AÑOS,"$
66.000"
RHINO-N,ALUMINIO,NEGRO,AC100-240V 6W IP65,540,200,3000K,25.000H,,FICHA TÉCNICA,Ø85*110mm,20,2 AÑOS,"$
45.400"
SLENDER12-N,ALUMINIO,NEGRO,AC100-240V 12W IP65,1080,140,3000K,25.000H,,FICHA TÉCNICA,175*30*85mm,8,2 AÑOS,"$
65.333"
THOR12-N,ALUMINIO,NEGRO,AC100-240V 9W IP65,810,180,3000K,25.000H,,FICHA TÉCNICA,135*95*105mm,20,2 AÑOS,"$
50.667"
WALL-EX2-B,ALUMINIO,BLANCO,AC100-240V 2W IP65,180,60,3000K,25.000H,,FICHA TÉCNICA,86*56*85mm,20,2 AÑOS,"$
26.000"
WALL-EX2-N,ALUMINIO,NEGRO,AC100-240V 2W IP65,180,60,3000K,25.000H,,FICHA TÉCNICA,86*56*85mm,20,2 AÑOS,"$
26.000"
WALL-EX4-B,ALUMINIO,BLANCO,AC100-240V 4W IP65,360,60,3000K,25.000H,,FICHA TÉCNICA,85*48*125mm,8,2 AÑOS,"$
35.133"
