0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,,
,,,,,,,LED,,,,EMPAQUE,,,
,ALUMINIO+P,,,,,,,,,,,,,
TL30W-B,,BLANCO,AC100-240V 30W IP20,2400,35,3000K,30.000H,,FICHA TÉCNICA,Ø 75*178mm,50,2 AÑOS,$,45.333
,C,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
TL30W-BN,,BLANCO,AC100-240V 30W IP20,2400,35,4000K,30.000H,,FICHA TÉCNICA,Ø 75*178mm,50,2 AÑOS,$,45.333
,C,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
TL30W-N,,NEGRO,AC100-240V 30W IP20,2400,35,3000K,30.000H,,FICHA TÉCNICA,Ø 75*178mm,50,2 AÑOS,$,45.333
,C,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
TL30W-NN,,NEGRO,AC100-240V 30W IP20,2400,35,4000K,30.000H,,FICHA TÉCNICA,Ø 75*178mm,50,2 AÑOS,$,-
,C,,,,,,,,,,,,,
*TRACK LIGHT,,,,,,,,,,,,,,
RIELES 2 VÍAS,,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
TS1M-B,,BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,100*35mm,40,2 AÑOS,$,10.667
,C,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
TS1M-N,,NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,100*35mm,40,2 AÑOS,$,10.667
,C,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
TS2M-B,,BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,200*35mm,40,2 AÑOS,$,20.667
,C,,,,,,,,,,,,,
,ALUMINIO+P,,,,,,,,,,,,,
TS2M-N,,NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,200*35mm,40,2 AÑOS,$,20.667
,C,,,,,,,,,,,,,
*TRACK LIGHT,,,,,,,,,,,,,,
ACCESORIOS 2 VÍAS,,,,,,,,,,,,,,
TLCL-B,PC,BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,$,9.333
TLCL-N,PC,NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,$,9.333
TLCR-B,PC,BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,$,9.333
TLCR-N,PC,NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,$,9.333
TLCT-B,PC,BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,$,9.333
TLCT-N,PC,NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,$,9.333
TLCX-B,PC,BLANCO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,50,2 AÑOS,$,9.333
TLCX-N,PC,NEGRO,AC100-240V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,50,2 AÑOS,$,9.333
*TRACK LIGHT 3 VÍAS,,,,,,,,,,,,,,
,ALUMINIO+P,,AC100-240V 35W IP20,,,,,,,,,,,
TLWD-B,,BLANCO,,2800,24,3000K,50.000H,,FICHA TÉCNICA,Ø 75*178mm,30,3 AÑOS,$,78.667
,C,,FP>0.9,,,,,,,,,,,
