0,1,2,3,4,5,6,7,8,9,10,11,12,13
VING454W-C,VIDRIO,AMBAR,"AC100-130V 4W E27
IP20",300,250,2200K,25.000H,,FICHA TÉCNICA,Ø 45*80mm,100,2 AÑOS,"$
5.200"
VING45DIM-C,VIDRIO,AMBAR,"AC100-130V 4W E27
IP20 DIMER",300,250,2200K,25.000H,,FICHA TÉCNICA,Ø 45*80mm,100,2 AÑOS,"$
7.900"
VINST644W-C,VIDRIO,AMBAR,"AC100-130V 4W E27
IP20",300,250,2200K,25.000H,,FICHA TÉCNICA,Ø 64*131mm,100,2 AÑOS,"$
8.400"
VINST64DIM-C,VIDRIO,AMBAR,"AC100-130V 4W E27
IP20 DIMER",300,250,2200K,25.000H,,FICHA TÉCNICA,Ø 64*131mm,100,2 AÑOS,"$
10.533"
VING125-C,VIDRIO,AMBAR,"AC100-130V 4W E27
IP20",400,250,2200K,25.000H,,FICHA TÉCNICA,Ø 125*170mm,20,2 AÑOS,"$
17.200"
"*BOMBILLOS
VINTAGE GRANDES",,,,,,,,,,,,,
VINFA-C,"METAL+ACRI
LICO",NEGRO,"AC100-130V 2.5W E27
IP20",200,250,1800K,25.000H,,FICHA TÉCNICA,Ø 102*162mm,50,2 AÑOS,"$
45.333"
VING1-C,VIDRIO,AMBAR,"AC100-130V 4W E27
IP20 DIMER",300,250,2200K,25.000H,,FICHA TÉCNICA,Ø 168*303mm,4,2 AÑOS,"$
92.000"
VING2-C,VIDRIO,AMBAR,"AC100-130V 4W E27
IP20 DIMER",300,250,2200K,25.000H,,FICHA TÉCNICA,Ø 200*241mm,4,2 AÑOS,"$
92.000"
VING3-C,VIDRIO,AMBAR,"AC100-130V 4W E27
IP20 DIMER",300,250,2200K,25.000H,,FICHA TÉCNICA,Ø 60*300mm,10,2 AÑOS,"$
60.000"
VING4-C,VIDRIO,AMBAR,"AC100-130V 4W E27
IP20 DIMER",300,250,2200K,25.000H,,FICHA TÉCNICA,Ø 92*303mm,10,2 AÑOS,"$
65.333"
"*CINTA LED 120V
ENCAUCHETADA",,,,,,,,,,,,,
STR800-A,PVC,N/A,AC120V 8W/M IP20,450,120,AZUL,25.000H,,FICHA TÉCNICA,14*6mm,50,1 AÑO,"$
9.360"
STR800-C,PVC,N/A,AC120V 8W/M IP65,450,120,3000K,25.000H,,FICHA TÉCNICA,14*6mm,50,1 AÑO,"$
19.933"
STR800-F,PVC,N/A,AC120V 8W/M IP20,450,120,6500K,25.000H,,FICHA TÉCNICA,14*6mm,50,1 AÑO,"$
9.360"
STR800-N,PVC,N/A,AC120V 8W/M IP20,450,120,4000K,25.000H,,FICHA TÉCNICA,14*6mm,50,1 AÑO,"$
9.360"
STR800-PLUG,PVC,N/A,AC120V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,500*35mm,50,1 AÑO,"$
18.667"
STR1100-C,PVC,N/A,AC120V 11W/m IP20,550,120,3000K,25.000H,,FICHA TÉCNICA,13*8mm,50,1 AÑO,"$
21.267"
STR1100-F,PVC,N/A,AC120V 11W/m IP20,550,120,6500K,25.000H,,FICHA TÉCNICA,13*8mm,50,1 AÑO,"$
9.344"
STR1100-PLUG,PVC,N/A,AC120V IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,500*35mm,50,1 AÑO,"$
18.667"
