0,1,2,3,4,5,6,7,8,9,10,11,12,13
LEDLC3A-B,PC,BLANCO,AC100-240V 30W IP20,3000,120,3CCT PARED,25.000H,,FICHA TÉCNICA,Ø400mm,10,2 AÑOS,$ 132.000
LEDLC3A-N,PC,NEGRO,AC100-240V 30W IP20,3000,120,3CCT PARED,25.000H,,FICHA TÉCNICA,Ø500mm,10,2 AÑOS,$ 132.000
LEDLC3B-B,PC,BLANCO,AC100-240V 48W IP20,4800,120,3CCT PARED,25.000H,,FICHA TÉCNICA,Ø400mm,5,2 AÑOS,$ 172.000
LEDLC3B-N,PC,NEGRO,AC100-240V 48W IP20,4800,120,3CCT PARED,25.000H,,FICHA TÉCNICA,Ø500mm,5,2 AÑOS,$ 172.000
LEDLC3C-B,PC,"BLANCO+MAD
ERA",AC100-240V 30W IP20,3000,120,3CCT PARED,25.000H,,FICHA TÉCNICA,Ø450mm,1,2 AÑOS,$ 518.667
LEDLC3C-N,PC,"NEGRO+MADE
RA",AC100-240V 30W IP20,3000,120,3CCT PARED,25.000H,,FICHA TÉCNICA,Ø450mm,1,2 AÑOS,$ 518.667
LEDLC3D-B,METAL,BLANCO,AC100-240V 28W IP20,2800,120,3CCT PARED,25.000H,,FICHA TÉCNICA,Ø480mm,1,2 AÑOS,$ 358.667
LEDLC3E-C,METAL,CAFÉ,AC100-240V 28W IP20,2800,120,3CCT PARED,25.000H,,FICHA TÉCNICA,Ø480mm,1,2 AÑOS,$ 438.667
LEDLC3-ACC-N,METALICO,NEGRO,"ACCESORIO
COLGANTE",N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø120*1500mm,20,2 AÑOS,"$
25.333"
LEDLC3-ACC-B,METALICO,NEGRO,"ACCESORIO
COLGANTE",N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø120*1500mm,20,2 AÑOS,"$
-"
"*COLGANTES/TECHO
E27",,,,,,,,,,,,,
CHL01-B,ALUMINIO,BLANCO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø18.5*38*18.5mm,20,2 AÑOS,"$
92.000"
CHL01-N,ALUMINIO,NEGRO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø18.5*38*18.5mm,20,2 AÑOS,"$
92.000"
CHL03-N,METAL,NEGRO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø400*200mm,10,2 AÑOS,$ 118.667
CHL05-N,"ALUMINIO/VI
DRIO",NEGRO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø200*160mm,4,2 AÑOS,"$
92.000"
CHL06-N,ALUMINIO,NEGRO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø80*400Hmm,20,2 AÑOS,"$
92.000"
CHL06-B,ALUMINIO,BLANCO,AC100-240V GU10 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø80*400Hmm,20,2 AÑOS,"$
92.000"
CHL07-N,ALUMINIO,NEGRO,AC100-240V GU10 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø40mm,15,2 AÑOS,"$
92.000"
CHL08-D,"ALUMINIO/VI
DRIO",DORADO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø9.8*28.5mm,1,2 AÑOS,$ 187.000
CHL08-G,"ALUMINIO/VI
DRIO",GRIS ARENA,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø9.8*28.5mm,1,2 AÑOS,$ 187.000
