0,1,2,3,4,5,6,7,8,9,10,11,12,13
TLM90-13,PC,NEGRO,0,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,50,2 AÑOS,"$
12.900"
TLMCEC,PC,NEGRO,0,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,200,2 AÑOS,"$
15.900"
TLMCEL,PC,NEGRO,0,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,"$
12.900"
TLMCEL-E,PC,NEGRO,0,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,100,2 AÑOS,"$
13.200"
TLMCEL-INC,PC,NEGRO,0,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,-,50,2 AÑOS,"$
38.667"
"*MAGNETICO
LUMINARIAS",,,,,,,,,,,,,
TLMCOL0,ALUMINIO,BLANCO,DC42V 9W IP20,720,24,3CCT SMART,50.000H,,FICHA TÉCNICA,Ø93*116mm,50,2 AÑOS,$ 124.533
TLMCOL0-N,ALUMINIO,"NEGRO/DORA
DO",DC42V 9W IP20,720,24,3CCT SMART,50.000H,,FICHA TÉCNICA,Ø93*116mm,50,2 AÑOS,$ 104.900
TLMCOL1,SILICONA,BLANCO,DC42V 20W IP20,1400,24,3CCT SMART,50.000H,,FICHA TÉCNICA,Ø23*1130mm,20,2 AÑOS,$ 183.733
TLMC1,ALUMINIO,NEGRO,DC20V 9W IP20,630,24,3CCT SMART,50.000H,,FICHA TÉCNICA,Ø75*75mm,30,2 AÑOS,$ 145.333
TLML0,ALUMINIO,NEGRO,DC42V 12W IP20,840,120,3CCT SMART,50.000H,,FICHA TÉCNICA,320*25*26mm,50,2 AÑOS,"$
54.900"
TLML1,ALUMINIO,NEGRO,DC42V 24W IP20,1680,120,3CCT SMART,50.000H,,FICHA TÉCNICA,660*25*26mm,50,2 AÑOS,"$
84.000"
TLMP0,ALUMINIO,NEGRO,DC42V 12W IP20,840,24,3CCT SMART,50.000H,,FICHA TÉCNICA,235*33*26mm,50,2 AÑOS,"$
61.333"
TLMP1,ALUMINIO,NEGRO,DC42V 24W IP20,1680,24,3CCT SMART,50.000H,,FICHA TÉCNICA,470*33*26mm,50,2 AÑOS,"$
89.333"
TLMPG0,ALUMINIO,NEGRO,DC42V 12W IP20,840,24,3CCT SMART,50.000H,,FICHA TÉCNICA,235*43*26mm,50,2 AÑOS,"$
93.200"
TLMSP0,ALUMINIO,NEGRO,DC42V 6W IP20,480,24,3CCT SMART,50.000H,,FICHA TÉCNICA,Ø36*285mm,20,2 AÑOS,$ 112.000
TLMB8,ALUMINIO,NEGRO,DC42V 12W IP20,840,150,3CCT SMART,50.000H,,FICHA TÉCNICA,Ø90*35mm,30,2 AÑOS,$ 116.000
TLMSP1,ALUMINIO,NEGRO,DC42V 12W IP20,960,24,3CCT SMART,50.000H,,FICHA TÉCNICA,Ø45*100mm,50,2 AÑOS,"$
64.900"
TLMSP2,ALUMINIO,NEGRO,DC42V 24W IP20,1920,24,3CCT SMART,50.000H,,FICHA TÉCNICA,Ø50*135mm,50,2 AÑOS,"$
84.900"
*MAGNETICO CINTA,,,,,,,,,,,,,
