0,1,2,3,4,5,6,7,8,9,10,11,12,13
"NICH3A-GN
ALUMINIO
NEGRO
AC100-240V 3W IP65
270
30
3000K
25.000H
FICHA TÉCNICA
Ø85*60mm
100
2 AÑOS
$
45.333",,,,,,,,,,,,,
*TORTUGAS,,,,,,,,,,,,,
ECOTRT10-C,PC,BLANCO,AC100-240V 10W IP65,800,120,3000K,25.000H,,FICHA TÉCNICA,188*95*50mm,-,2 AÑOS,"$
11.107"
ECOTRT10-N,PC,BLANCO,AC100-240V 10W IP65,800,120,4000K,25.000H,,FICHA TÉCNICA,188*95*50mm,-,2 AÑOS,"$
11.107"
*POSTES LED,,,,,,,,,,,,,
GRD7,ALUMINIO,NEGRO,AC100-240V 7W IP65,490,180,3000K,25.000H,,FICHA TÉCNICA,Ø200*650mm,10,2 AÑOS,$ 158.667
PST11LEDA-C,ALUMINIO,NEGRO,AC100-240V 10W IP65,900,38,3000K,25.000H,,FICHA TÉCNICA,100*100*600mm,10,2 AÑOS,$ 318.667
PST11LEDB,ALUMINIO,NEGRO,AC100-240V 10W IP65,700,38,3000K,25.000H,,FICHA TÉCNICA,600*162*57mm,8,2 AÑOS,$ 199.867
PST11LED-C,ALUMINIO,NEGRO,AC100-240V 10W IP65,900,120,3000K,25.000H,,FICHA TÉCNICA,Ø130*600mm,10,2 AÑOS,$ 305.067
"*POSTES LED GU10 /
E27",,,,,,,,,,,,,
PST11,ALUMINIO,NEGRO,AC100-240V E27 IP65,N/A,120,N/A,N/A,,FICHA TÉCNICA,Ø101*600mm,10,2 AÑOS,$ 132.000
PST11E-N,PC,NEGRO,AC100-240V E27 IP65,N/A,120,N/A,N/A,,FICHA TÉCNICA,"Ø99x750
Base:Ø174mm",1,2 AÑOS,$ 132.000
PST11G,ALUMINIO,NEGRO,AC100-240V E27 IP65,N/A,180,N/A,N/A,,FICHA TÉCNICA,Ø135*1000mm,4,2 AÑOS,$ 390.000
"*POSTES LED
SOLARES",,,,,,,,,,,,,
SLSUN10-C,ALUMINIO,GRIS,"3.2V/5AH LiPo4 10W
IP65",300,120,3000K,N/A,,FICHA TÉCNICA,120*185mm,12,2 AÑOS,$ 265.333
SLSUN15,ALUMINIO,NEGRO,"3.7V/4.4AH LiPo4 10W
IP65",300,120,3000K,N/A,,FICHA TÉCNICA,165*165*595mm,6,2 AÑOS,$ 273.333
SLSUN5,ALUMINIO,GRIS,"3.2V/1.8AH LiPo4 5W
IP65",300,120,3CCT SWITCH,N/A,,FICHA TÉCNICA,105*65*810mm,12,2 AÑOS,$ 293.200
"*REFLECTORES
3CCT PC",,,,,,,,,,,,,
FLO10WIP65-3CCT,ALUMINIO,GRIS,AC85-277V 10W IP66,1000,90,3CCT SWITCH,50.000H,,FICHA TÉCNICA,138*94*28mm,20,2 AÑOS,"$
17.200"
FLO20WIP65-3CCT,ALUMINIO,GRIS,AC85-277V 20W IP66,2000,90,3CCT SWITCH,50.000H,,FICHA TÉCNICA,148*108*28mm,20,2 AÑOS,"$
25.200"
