0,1,2,3,4,5,6,7,8,9,10,11,12,13
"VIDA
UNIDAD
COLOR DE
CARACTERÍSTICAS
ÁNGULO
TEMPERATURA
DIMENSIONES
REFERENCIA
MATERIAL
LUMENES
ÚTIL
IMAGEN
PAGINA / FICHA
DE
GARANTÍA
PRECIO
CHASIS
ELÉCTRICAS
APERTURA
DE COLOR
PRODUCTO
LED
EMPAQUE",,,,,,,,,,,,,
"*COLGANTE/TECHO
LED",,,,,,,,,,,,,
LEDLC1A,ALUMINIO,DORADO,AC100-240V 40W IP20,3200,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"996*213*15mm |
Base:
280*70*30mm",1,2 AÑOS,$ 358.667
LEDLC1B-1,ALUMINIO,DORADO,AC100-240V 75W IP20,6000,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"Ø600 Ø400 base
Ø150mm",-,2 AÑOS,"$
1.047.600"
LEDLC1B-4,ALUMINIO,NEGRO,AC100-240V 75W IP20,6000,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"Ø602*50*12mm |
Largo Guaya:
1522mm | Base:
Ø222mm",-,2 AÑOS,$ 423.200
LEDLC1C,ALUMINIO,NEGRO,AC100-240V 75W IP20,6000,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"Ø602*50*12mm |
Largo Guaya:
1522mm | Base:
Ø542*77*36mm",-,2 AÑOS,$ 438.933
LEDLC1D-D,ALUMINIO,DORADO,AC100-240V 45W IP20,4000,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"Ø600*95 | Largo
Guaya: 1110 |
Base: Ø180*35mm",1,2 AÑOS,$ 433.333
LEDLC1D-N,ALUMINIO,NEGRO,AC100-240V 45W IP20,4000,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"Ø600*95 | Largo
Guaya: 1110 |
Base: Ø180*35mm",1,2 AÑOS,$ 433.333
LEDLC2A,ALUMINIO,BLANCO,AC100-240V 32W IP20,6000,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"1216*107*20 |
Largo Guaya: 1800
| Dimensiones
cilindros:",1,2 AÑOS,$ 385.333
LEDLC2B,ALUMINIO,BLANCO,AC100-240V 55W IP20,6000,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"1000*190*15 |
Largo Guaya: 2180
| Dimensiones
esferas: Ø160mm",1,2 AÑOS,$ 385.333
LEDLC2C,ALUMINIO,NEGRO,AC100-240V 20W IP20,1600,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"1050*85*12 | Largo
Guaya: 1920 |
base:
430*61*40mm",1,2 AÑOS,$ 513.333
LEDLC40,ALUMINIO,DORADO,AC100-240V 40W IP20,3200,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"982*304*76mm |
Largo guaya:
1600mm",1,2 AÑOS,$ 798.667
LEDLC48-D,ALUMINIO,DORADO,AC100-240V 48W IP20,3840,Asimétrico,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,1220*260*05mm,1,2 AÑOS,$ 638.667
LEDLC1E-N,METAL,NEGRO,AC100-240V 45W IP20,5800,180,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"Ø600*40 | Largo
Guaya: 1060 |
Base: Ø155*30mm",1,2 AÑOS,$ 286.667
LEDLC1F-N,METAL,NEGRO,AC100-240V 60W IP20,7000,180,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"Ø800*60 | Largo
Guaya: 1060 |
Base: Ø155*30mm",1,2 AÑOS,$ 398.667
LEDLC1H-N,METAL,NEGRO,AC100-240V 60W IP20,4800,180,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,"Ø665*70
Base:Ø120*20
Guaya:1080mm",1,2 AÑOS,$ 398.667
LEDLC0O-N,ALUMINIO,NEGRO,AC100-240V 6W IP20,720,90,3000K,25.000H,,FICHA TÉCNICA,Ø120*H290mm,20,2 AÑOS,$ 172.000
LEDLC0O-B,ALUMINIO,BLANCO,AC100-240V 6W IP20,720,90,3000K,25.000H,,FICHA TÉCNICA,Ø120*H290mm,20,2 AÑOS,$ 172.000
LEDLC0L-N,ALUMINIO,NEGRO,AC100-240V 5W IP20,600,60,3000K,25.000H,,FICHA TÉCNICA,Ø25*400mm,20,2 AÑOS,$ 118.667
LEDLC0L-B,ALUMINIO,BLANCO,AC100-240V 5W IP20,600,60,3000K,25.000H,,FICHA TÉCNICA,Ø25*400mm,20,2 AÑOS,$ 118.667
LEDLC0L-ACC,ACRILICO,BLANCO,ACCESORIO ACRILICO,N/A,N/A,N/A,25.000H,,FICHA TÉCNICA,Ø25mm,20,2 AÑOS,"$
20.000"
