0,1,2,3,4,5,6,7,8,9,10,11,12,13
BACKLIGHT,,,,,,,,,,,,,
REDONDO INC,,,,,,,,,,,,,
,,,AC100-240V 3W IP20,,,,,,,,,,
ECO86SLIMV3-C,PC,BLANCO,,270,120,3000K,30.000H,FICHA TÉCNICA,Ø 86*27mm,90,2 AÑOS,$,5.200
,,,DOB BACK-LIGHT,,,,,,,,,,
,,,AC100-240V 3W IP20,,,,,,,,,,
ECO86SLIMV3-F,PC,BLANCO,,270,120,6500K,30.000H,FICHA TÉCNICA,Ø 86 *27mm,90,2 AÑOS,$,5.200
,,,DOB BACK-LIGHT,,,,,,,,,,
,,,AC100-240V 6W IP20,,,,,,,,,,
ECO120SLIMV6-C,PC,BLANCO,,540,120,3000K,30.000H,FICHA TÉCNICA,Ø 120*27mm,90,2 AÑOS,$,6.533
,,,DOB BACK-LIGHT,,,,,,,,,,
,,,AC100-240V 6W IP20,,,,,,,,,,
ECO120SLIMV6-F,PC,BLANCO,,540,120,6500K,30.000H,FICHA TÉCNICA,Ø 120*27mm,90,2 AÑOS,$,6.533
,,,DOB BACK-LIGHT,,,,,,,,,,
,,,AC100-240V 6W IP20,,,,,,,,,,
ECO120SLIMV6-N,PC,BLANCO,,540,120,4000K,30.000H,FICHA TÉCNICA,Ø 120*27mm,90,2 AÑOS,$,6.533
,,,DOB BACK-LIGHT,,,,,,,,,,
