0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,
,,,,,,,LED,,,,EMPAQUE,,
BLINR1-BC,ALUMINIO,BLANCO,AC100-240V 3W IP20,200,25,3000K,25.000H,,FICHA TÉCNICA,Ø65*280mm,50,2 AÑOS,"$
53.200"
BLINR1-BN,ALUMINIO,NEGRO,AC100-240V 3W IP20,200,25,4000K,25.000H,,FICHA TÉCNICA,Ø65*280mm,50,2 AÑOS,"$
53.200"
BLINR1-NC,ALUMINIO,BLANCO,AC100-240V 3W IP20,200,25,3000K,25.000H,,FICHA TÉCNICA,Ø65*280mm,50,2 AÑOS,"$
53.200"
BLINR1-NN,ALUMINIO,NEGRO,AC100-240V 3W IP20,200,25,4000K,25.000H,,FICHA TÉCNICA,Ø65*280mm,50,2 AÑOS,"$
53.200"
*APLIQUES LED,,,,,,,,,,,,,
ESPEJO,,,,,,,,,,,,,
LEDLC0A-D,ALUMINIO,DORADO,AC100-240V 24W IP20,1920,120,3CCT SWITCH,30.000H,,FICHA TÉCNICA,1000mm,20,2 AÑOS,$ 212.000
LEDLC0A-N,ALUMINIO,NEGRO,AC100-240V 24W IP20,1920,120,3CCT SWITCH,30.000H,,FICHA TÉCNICA,1000mm,20,2 AÑOS,$ 212.000
LEDLC0E-D,ALUMINIO,DORADO,AC100-240V 12W IP20,960,120,3CCT SWITCH,30.000H,,FICHA TÉCNICA,500mm,20,2 AÑOS,$ 158.667
LEDLC0E-N,ALUMINIO,NEGRO,AC100-240V 12W IP20,960,120,3CCT SWITCH,30.000H,,FICHA TÉCNICA,500mm,20,2 AÑOS,$ 158.667
*APLIQUES E27,,,,,,,,,,,,,
CHL09,ALUMINIO,DORADO,AC100-240V E12 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,170*90*500mm,1,2 AÑOS,$ 149.600
,,,,,,,,,,Ø135*210mm base,,,
CHL10-D,ALUMINIO,DORADO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,,1,2 AÑOS,$ 106.533
,,,,,,,,,,Ø97,,,
,,DORADO,,,,,,,,,,,
CHL11-D,ALUMINIO,,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,440*88mm,1,2 AÑOS,$ 149.600
,,CRISTAL,,,,,,,,,,,
,,DORADO,,,,,,,,Ø135*630mm base,,,
CHL12-D,ALUMINIO,,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,,1,2 AÑOS,$ 132.000
,,CRISTAL,,,,,,,,Ø97,,,
,,,,,,,,,,Ø135*570mm base,,,
CHL13-D,ALUMINIO,DORADO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,,1,2 AÑOS,$ 115.867
,,,,,,,,,,Ø97,,,
,,,,,,,,,,Ø135*210mm base,,,
CHL15-D,ALUMINIO,DORADO,AC100-240V E27 IP20,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,,1,2 AÑOS,$ 105.333
,,,,,,,,,,Ø97,,,
*FAROL E27,,,,,,,,,,,,,
APLB1-N,ALUMINIO,NEGRO,AC100-240V E27 IP44,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,418*200*260mm,6,2 AÑOS,$ 132.000
APLB2-N,ALUMINIO,NEGRO,AC100-240V E27 IP44,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,535*235*310mm,2,2 AÑOS,$ 198.667
APLB3-N,PC,NEGRO,AC100-240V E27 IP44,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,420*270mm,8,2 AÑOS,"$
97.800"
