0,1,2,3,4,5,6,7,8,9,10,11,12,13
"VIDA
UNIDAD
COLOR DE
CARACTERÍSTICAS
ÁNGULO
TEMPERATURA
DIMENSIONES
REFERENCIA
MATERIAL
LUMENES
ÚTIL
IMAGEN
PAGINA / FICHA
DE
GARANTÍA
PRECIO
CHASIS
ELÉCTRICAS
APERTURA
DE COLOR
PRODUCTO
LED
EMPAQUE",,,,,,,,,,,,,
*EXTRACTORES,,,,,,,,,,,,,
N-EXRP4,PC,BLANCO,AC110V 13W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,162*158mm,24,2 AÑOS,"$
53.200"
N-EXRP4-N,PC,NEGRO,AC110V 13W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,162*158mm,24,2 AÑOS,"$
57.200"
N-EXRP6,PC,BLANCO,AC110V 18W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,214*210mm,18,2 AÑOS,"$
67.867"
N-EXRP6-N,PC,NEGRO,AC110V 18W,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,214*210mm,18,2 AÑOS,"$
74.533"
*VENTILADORES,,,,,,,,,,,,,
LBVAR2-B,ALUMINIO,BLANCO,"AC100-240V E27
PL.20W PM.20W",2000,180,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,520*175mm,24,1 AÑO,"$
56.000"
ECO10120A-N,ALUMINIO/PC,"MADERA Y
NEGRO","AC100-240V PL.15W
PM.35W",1500,120,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,338*438*140mm,3,2 AÑOS,$ 532.000
ECO10120B-B,ALUMINIO/PC,BLANCO,"AC100-240V PL.15W
PM.35W",1500,120,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,325*517*105mm,2,2 AÑOS,$ 492.000
ECO10120C-N,ALUMINIO/PC,"NEGRO/BLANC
O","AC100-240V PL.15W
PM.35W",1500,120,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,233*635*137mm,2,2 AÑOS,$ 452.000
ECO10120C-B,ALUMINIO/PC,BLANCO,"AC100-240V PL.15W
PM.35W",1500,120,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,233*635*137mm,2,2 AÑOS,$ 452.000
ECO10120D-B,METAL + PC,BLANCO/GRIS,"AC100-240V PL.42W
PM.30W",4200,120,"3CCT
CONTROL",25.000H,,FICHA TÉCNICA,Ø487*320*73mm,1,2 AÑOS,$ 332.000
*SOLAR,,,,,,,,,,,,,
,,,,,,,,,,,,,
