0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,LOS PRECIOS RELACIONADOS A CONTINUACIÓN NO TIENEN IVA,,,,,,,,
,,,,LOS PRECIOS Y LAS CARACTERÍSTICAS DE LOS PRODUCTOS ESTÁN SUJETOS A CAMBIOS SIN PREVIO AVISO,,,,,,,,,,
,,,,,,,Fecha de Publicacion: 09/2025,,,,,,,
,,,,,,,VIDA,,,,UNIDAD,,,
,,COLOR DE,CARACTERÍSTICAS,,ÁNGULO,TEMPERATURA,,,,DIMENSIONES,,,,
REFERENCIA,MATERIAL,,,LUMENES,,,ÚTIL,IMAGEN,PAGINA / FICHA,,DE,GARANTÍA,,PRECIO
,,CHASIS,ELÉCTRICAS,,APERTURA,DE COLOR,,,,PRODUCTO,,,,
,,,,,,,LED,,,,EMPAQUE,,,
WALL-EX4-N,ALUMINIO,NEGRO,AC100-240V 4W IP65,360,60,3000K,25.000H,,FICHA TÉCNICA,85*48*125mm,8,2 AÑOS,$,35.133
WALL-EX6-N,ALUMINIO,NEGRO,AC100-240V 6W IP65,540,60,3000K,25.000H,,FICHA TÉCNICA,85*48*125mm,8,2 AÑOS,$,42.667
WALL-EX8-N,ALUMINIO,NEGRO,AC100-240V 8W IP65,720,60,3000K,25.000H,,FICHA TÉCNICA,85*48*125mm,8,2 AÑOS,$,52.267
*APLIQUES GU10 /,,,,,,,,,,,,,,
E27,,,,,,,,,,,,,,
APL2XGU10A-N,ALUMINIO,NEGRO,AC100-240V GU10 IP65,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,150*80*68mm,8,2 AÑOS,$,45.333
APL2XGU10B-N,ALUMINIO,NEGRO,AC100-240V GU10 IP65,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,150*80*68mm,8,2 AÑOS,$,45.333
APL2XGU10-N,ALUMINIO,NEGRO,AC100-240V GU10 IP65,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø70*170mm,30,2 AÑOS,$,52.667
APL2XPAR30-N,ALUMINIO,NEGRO,AC100-240V E27 IP65,N/A,N/A,N/A,N/A,,FICHA TÉCNICA,Ø107*300mm,8,2 AÑOS,$,74.800
*APLIQUES LED,,,,,,,,,,,,,,
ACRILICO,,,,,,,,,,,,,,
,,,,,,,,,,Ø20cm | Base:,,,,
AP11-D,ACRILICO,DORADO,AC100-240V 3W IP20,240,Asimétrico,3000K,25.000H,,FICHA TÉCNICA,,10,2 AÑOS,,$ 106.533
,,,,,,,,,,"Ø9,7cm",,,,
,,,,,,,,,,302*110mm | Base:,,,,
AP12-D,ACRILICO,DORADO,AC100-240V 8W IP20,640,Asimétrico,3000K,25.000H,,FICHA TÉCNICA,,1,2 AÑOS,,$ 101.200
,,,,,,,,,,Ø99mm,,,,
AP13-N,ACRILICO,NEGRO,AC100-240V 18W IP20,1440,Asimétrico,3000K,25.000H,,FICHA TÉCNICA,200*95*51mm,20,2 AÑOS,$,95.867
,,,,,,,,,,280*110*74mm |,,,,
AP14-N,ACRILICO,NEGRO,AC100-240V 18W IP20,1440,Asimétrico,3000K,25.000H,,FICHA TÉCNICA,,1,2 AÑOS,,$ 106.533
,,,,,,,,,,Base: Ø99mm,,,,
,,,,,,,,,,217*110*86mm |,,,,
AP15-D,ACRILICO,DORADO,AC100-240V 12W IP20,960,Asimétrico,3000K,25.000H,,FICHA TÉCNICA,,1,2 AÑOS,,$ 101.200
,,,,,,,,,,Base: 97mm,,,,
,,,,,,,,,,233*115mmm |,,,,
AP16-D,ACRILICO,DORADO,AC100-240V 12W IP20,960,Asimétrico,3000K,25.000H,,FICHA TÉCNICA,,1,2 AÑOS,,$ 173.200
,,,,,,,,,,Base: 97mm,,,,
,,,,,,,,,,235*115*102mm |,,,,
AP17-D,ACRILICO,DORADO,AC100-240V 12W IP20,960,Asimétrico,3000K,25.000H,,FICHA TÉCNICA,,1,2 AÑOS,,$ 162.200
,,,,,,,,,,Base: 97mm,,,,
*APLIQUES LED,,,,,,,,,,,,,,
LEDLC0B-B,ALUMINIO,BLANCO,AC100-240V 6W IP20,420,GRADUABLE,3000K,25.000H,,FICHA TÉCNICA,200*80*60mm,50,2 AÑOS,$,79.867
LEDLC0B-N,ALUMINIO,NEGRO,AC100-240V 6W IP20,420,GRADUABLE,3000K,25.000H,,FICHA TÉCNICA,200*80*60mm,50,2 AÑOS,$,79.867
*APLIQUES LED,,,,,,,,,,,,,,
LECTURA,,,,,,,,,,,,,,
