0,1,2,3,4,5,6,7,8,9,10,11,12,13
ECODLVB-3CCT,PC,"NEGRO-NEGR
O",AC100-240V 3W IP20,240,60,3CCT SWITCH,25.000H,,FICHA T…CNICA,"ÿ43X30
Base:25xÿ30
Corte: ÿ30mm",100,2 A—OS,"$
9.200"
ECODLVD-3CCT,PC,BLANCO,AC100-240V 9W IP20,840,24,3CCT SWITCH,25.000H,,FICHA T…CNICA,ÿ 50X38 mm,100,2 A—OS,"$
10.533"
ECODLV9-C,ALUMINIO,"BLANCO/NEGR
O",AC100-240V 9W IP20,810,60,3000K,50.000H,,FICHA T…CNICA,ÿ 85*53mm,50,2 A—OS,"$
51.867"
ECODLV15-C,ALUMINIO,"BLANCO/NEGR
O",AC100-240V 15W IP20,1350,60,3000K,50.000H,,FICHA T…CNICA,ÿ 135*55mm,50,2 A—OS,"$
79.867"
ECODLV12-N,ALUMINIO,BLANCO,AC100-240V 12W IP20,1200,60,4000K,30.000H,,FICHA T…CNICA,ÿ 130*90mm,50,2 A—OS,"$
29.333"
ECODLV12-C,ALUMINIO,BLANCO,AC100-240V 12W IP20,1200,60,3000K,30.000H,,FICHA T…CNICA,ÿ 130*90mm,50,2 A—OS,"$
-"
ECODLV12-3CCT,ALUMINIO,BLANCO,AC100-240V 12W IP20,1200,60,3CCT SWITCH,30.000H,,FICHA T…CNICA,ÿ 130*90mm,-,2 A—OS,"$
33.200"
ECODLV24-FA,ALUMINIO,BLANCO,AC100-240V 24W IP20,2160,60,6500K,30.000H,,FICHA T…CNICA,ÿ 170X28mm,30,2 A—OS,"$
26.453"
ECODLV24-F,ALUMINIO,BLANCO,AC100-240V 24W IP20,2400,60,6500K,30.000H,,FICHA T…CNICA,ÿ 165*90mm,30,2 A—OS,"$
42.667"
ECODLV24-N,ALUMINIO,BLANCO,AC100-240V 24W IP20,2400,60,4000K,30.000H,,FICHA T…CNICA,ÿ 165*90mm,30,2 A—OS,"$
42.667"
ECODLV24-3CCT,ALUMINIO,BLANCO,AC100-240V 24W IP20,2400,60,3CCT SWITCH,30.000H,,FICHA T…CNICA,ÿ 165*90mm,-,2 A—OS,"$
53.200"
ECODLV30-F,ALUMINIO,BLANCO,AC100-240V 30W IP20,3000,60,6500K,30.000H,,FICHA T…CNICA,ÿ 185*95mm,20,2 A—OS,"$
50.667"
ECODLV30-N,ALUMINIO,BLANCO,AC100-240V 30W IP20,3000,60,4000K,30.000H,,FICHA T…CNICA,ÿ 185*95mm,20,2 A—OS,"$
50.667"
ECODLV40-F,ALUMINIO,BLANCO,AC100-240V 40W IP20,4000,60,6500K,30.000H,,FICHA T…CNICA,ÿ 225*100mm,10,2 A—OS,"$
90.667"
ECODLV40-N,ALUMINIO,BLANCO,AC100-240V 40W IP20,4000,60,4000K,30.000H,,FICHA T…CNICA,ÿ 225*100mm,10,2 A—OS,"$
90.667"
"*TRACK LIGHT LED 2
VÕAS",,,,,,,,,,,,,
TL20W-B,"ALUMINIO+P
C",BLANCO,AC100-240V 20W IP20,1600,24,3000K,30.000H,,FICHA T…CNICA,ÿ 61*157mm,30,2 A—OS,"$
36.000"
TL20W-BN,"ALUMINIO+P
C",BLANCO,AC100-240V 20W IP20,1600,24,4000K,30.000H,,FICHA T…CNICA,ÿ 61*157mm,30,2 A—OS,"$
-"
TL20W-N,"ALUMINIO+P
C",NEGRO,AC100-240V 20W IP20,1600,24,3000K,30.000H,,FICHA T…CNICA,ÿ 61*157mm,30,2 A—OS,"$
36.000"
TL20W-NN,"ALUMINIO+P
C",NEGRO,AC100-240V 20W IP20,1600,24,4000K,30.000H,,FICHA T…CNICA,ÿ 61*157mm,30,2 A—OS,"$
36.000"
